INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
6171	变异强熊猫	617	45	9	1	0	100	10	690	250000	-1	-1	658	900000	718	300000	728	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	969	1399	861	861	969	948	1042	1090	1232	1422	100	200	500	150	50	6000	6170
6172	变异强熊猫	617	45	9	1	0	100	10	690	250000	-1	-1	658	900000	718	300000	728	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1057	1527	939	939	1057	948	1042	1090	1232	1422	100	200	500	150	50	6000	6170
6173	变异强熊猫	617	45	9	1	0	100	10	690	250000	-1	-1	658	900000	718	300000	728	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1145	1654	1018	1018	1145	948	1042	1090	1232	1422	100	200	500	150	50	6000	6170
6179	强熊猫宝宝	617	45	9	0	1	100	10	690	250000	-1	-1	658	900000	718	300000	728	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	881	1272	783	783	881	948	1042	1090	1232	1422	100	200	500	150	50	6000	6170
6180	成年珍熊猫	618	55	9	0	0	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	918	1326	816	816	918	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6181	变异珍熊猫	618	55	9	1	0	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	986	1425	877	877	986	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6182	变异珍熊猫	618	55	9	1	0	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1055	1524	938	938	1055	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6183	变异珍熊猫	618	55	9	1	0	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1124	1624	999	999	1124	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6184	变异珍熊猫	618	55	9	1	0	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1193	1723	1060	1060	1193	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6189	珍熊猫宝宝	618	55	9	0	1	100	10	690	300000	-1	-1	658	900000	718	350000	728	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	918	1326	816	816	918	1051	1156	1208	1366	1576	100	200	500	150	50	6000	6180
6190	成年超熊猫	619	65	9	0	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	954	1379	848	848	954	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6191	变异超熊猫	619	65	9	1	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1012	1462	899	899	1012	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6192	变异超熊猫	619	65	9	1	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1069	1544	950	950	1069	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6193	变异超熊猫	619	65	9	1	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1126	1627	1001	1001	1126	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6194	变异超熊猫	619	65	9	1	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1184	1710	1052	1052	1184	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6195	变异超熊猫	619	65	9	1	0	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1241	1793	1103	1103	1241	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6199	超熊猫宝宝	619	65	9	0	1	100	10	690	350000	-1	-1	658	900000	718	400000	728	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	954	1379	848	848	954	1153	1268	1325	1498	1729	100	200	500	150	50	6000	6190
6200	成年神熊猫	620	75	9	0	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	991	1432	881	881	991	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6201	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1041	1504	925	925	1041	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6202	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1090	1575	969	969	1090	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6203	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1140	1647	1013	1013	1140	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6204	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1190	1719	1057	1057	1190	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6205	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1239	1790	1102	1102	1239	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6206	变异神熊猫	620	75	9	1	0	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1289	1862	1146	1146	1289	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6209	神熊猫宝宝	620	75	9	0	1	100	10	690	400000	-1	-1	658	900000	718	450000	728	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	991	1432	881	881	991	1255	1380	1443	1631	1882	100	200	500	150	50	6000	6200
6210	成年螃蟹	621	5	9	0	0	10	10	684	200000	-1	-1	726	900000	661	250000	702	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	50	500	100	150	200	6000	6210
6211	变异螃蟹	621	5	9	1	0	10	10	684	200000	-1	-1	726	900000	661	250000	702	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	50	500	100	150	200	6000	6210
6212	变异螃蟹	621	5	9	1	0	10	10	684	200000	-1	-1	726	900000	661	250000	702	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	50	500	100	150	200	6000	6210
6219	螃蟹宝宝	621	5	9	0	1	10	10	684	200000	-1	-1	726	900000	661	250000	702	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	50	500	100	150	200	6000	6210
6220	成年青蟹	622	45	9	0	0	10	10	684	250000	-1	-1	726	900000	661	300000	702	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	50	500	100	150	200	6000	6220
6221	变异青蟹	622	45	9	1	0	10	10	684	250000	-1	-1	726	900000	661	300000	702	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	50	500	100	150	200	6000	6220
6222	变异青蟹	622	45	9	1	0	10	10	684	250000	-1	-1	726	900000	661	300000	702	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	50	500	100	150	200	6000	6220
6223	变异青蟹	622	45	9	1	0	10	10	684	250000	-1	-1	726	900000	661	300000	702	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	50	500	100	150	200	6000	6220
6229	青蟹宝宝	622	45	9	0	1	10	10	684	250000	-1	-1	726	900000	661	300000	702	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	50	500	100	150	200	6000	6220
6230	成年大闸蟹	623	55	9	0	0	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1122	714	918	714	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6231	变异大闸蟹	623	55	9	1	0	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1425	1206	767	986	767	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6232	变异大闸蟹	623	55	9	1	0	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1524	1290	821	1055	821	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6233	变异大闸蟹	623	55	9	1	0	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1624	1374	874	1124	874	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6234	变异大闸蟹	623	55	9	1	0	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1723	1458	928	1193	928	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6239	大闸蟹宝宝	623	55	9	0	1	10	10	684	300000	-1	-1	726	900000	661	350000	702	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1122	714	918	714	1051	1156	1208	1366	1576	50	500	100	150	200	6000	6230
6240	成年潮行蟹	624	65	9	0	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1379	1167	742	954	742	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6241	变异潮行蟹	624	65	9	1	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1462	1237	787	1012	787	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6242	变异潮行蟹	624	65	9	1	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1544	1307	831	1069	831	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6243	变异潮行蟹	624	65	9	1	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1627	1377	876	1126	876	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6244	变异潮行蟹	624	65	9	1	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1710	1447	920	1184	920	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6245	变异潮行蟹	624	65	9	1	0	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1793	1517	965	1241	965	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6249	潮行蟹宝宝	624	65	9	0	1	10	10	684	350000	-1	-1	726	900000	661	400000	702	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1379	1167	742	954	742	1153	1268	1325	1498	1729	50	500	100	150	200	6000	6240
6250	成年绒螯蟹	625	75	9	0	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1432	1212	771	991	771	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6251	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1504	1272	809	1041	809	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6252	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1575	1333	848	1090	848	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6253	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1647	1394	887	1140	887	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6254	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1719	1454	925	1190	925	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6255	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1790	1515	964	1239	964	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6256	变异绒螯蟹	625	75	9	1	0	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1862	1575	1002	1289	1002	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6259	绒螯蟹宝宝	625	75	9	0	1	10	10	684	400000	-1	-1	726	900000	661	450000	702	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1432	1212	771	991	771	1255	1380	1443	1631	1882	50	500	100	150	200	6000	6250
6260	成年粉蝶	626	5	9	0	0	100	10	700	200000	-1	-1	704	900000	712	400000	660	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	6000	6260
6261	变异粉蝶	626	5	9	1	0	100	10	700	200000	-1	-1	704	900000	712	400000	660	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	755	862	1402	862	1186	846	930	972	1099	1269	500	200	150	100	50	6000	6260
6262	变异粉蝶	626	5	9	1	0	100	10	700	200000	-1	-1	704	900000	712	400000	660	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	853	975	1585	975	1341	846	930	972	1099	1269	500	200	150	100	50	6000	6260
6269	粉蝶宝宝	626	5	9	0	1	100	10	700	200000	-1	-1	704	900000	712	400000	660	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	6000	6260
6270	成年斑蝶	627	45	9	0	0	100	10	700	250000	-1	-1	704	900000	712	450000	660	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	200	150	100	50	6000	6270
6271	变异斑蝶	627	45	9	1	0	100	10	700	250000	-1	-1	704	900000	712	450000	660	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	753	861	1399	861	1184	948	1042	1090	1232	1422	500	200	150	100	50	6000	6270
6272	变异斑蝶	627	45	9	1	0	100	10	700	250000	-1	-1	704	900000	712	450000	660	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	822	939	1527	939	1292	948	1042	1090	1232	1422	500	200	150	100	50	6000	6270
6273	变异斑蝶	627	45	9	1	0	100	10	700	250000	-1	-1	704	900000	712	450000	660	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	890	1018	1654	1018	1399	948	1042	1090	1232	1422	500	200	150	100	50	6000	6270
6279	斑蝶宝宝	627	45	9	0	1	100	10	700	250000	-1	-1	704	900000	712	450000	660	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	200	150	100	50	6000	6270
6280	成年绢蝶	628	55	9	0	0	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6281	变异绢蝶	628	55	9	1	0	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6282	变异绢蝶	628	55	9	1	0	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6283	变异绢蝶	628	55	9	1	0	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6284	变异绢蝶	628	55	9	1	0	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6289	绢蝶宝宝	628	55	9	0	1	100	10	700	300000	-1	-1	704	900000	712	500000	660	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	200	150	100	50	6000	6280
6290	成年环蝶	629	65	9	0	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	742	848	1379	848	1167	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6291	变异环蝶	629	65	9	1	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	787	899	1462	899	1237	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6292	变异环蝶	629	65	9	1	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	831	950	1544	950	1307	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6293	变异环蝶	629	65	9	1	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	876	1001	1627	1001	1377	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6294	变异环蝶	629	65	9	1	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	920	1052	1710	1052	1447	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6295	变异环蝶	629	65	9	1	0	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	965	1103	1793	1103	1517	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6299	环蝶宝宝	629	65	9	0	1	100	10	700	350000	-1	-1	704	900000	712	550000	660	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	742	848	1379	848	1167	1153	1268	1325	1498	1729	500	200	150	100	50	6000	6290
6300	成年凤尾蝶	630	75	9	0	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	771	881	1432	881	1212	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6301	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	809	925	1504	925	1272	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6302	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	848	969	1575	969	1333	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6303	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	887	1013	1647	1013	1394	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6304	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	925	1057	1719	1057	1454	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6305	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	964	1102	1790	1102	1515	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6306	变异凤尾蝶	630	75	9	1	0	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1002	1146	1862	1146	1575	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6309	凤尾蝶宝宝	630	75	9	0	1	100	10	700	400000	-1	-1	704	900000	712	600000	660	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	771	881	1432	881	1212	1255	1380	1443	1631	1882	500	200	150	100	50	6000	6300
6310	成年蜗牛	631	5	9	0	0	100	10	686	900000	-1	-1	656	400000	728	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	200	500	150	100	50	6000	6310
6311	变异蜗牛	631	5	9	1	0	100	10	686	900000	-1	-1	656	400000	728	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	970	1402	862	862	970	846	930	972	1099	1269	200	500	150	100	50	6000	6310
6312	变异蜗牛	631	5	9	1	0	100	10	686	900000	-1	-1	656	400000	728	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1097	1585	975	975	1097	846	930	972	1099	1269	200	500	150	100	50	6000	6310
6319	蜗牛宝宝	631	5	9	0	1	100	10	686	900000	-1	-1	656	400000	728	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	200	500	150	100	50	6000	6310
6320	成年壮蜗牛	632	45	9	0	0	100	10	686	900000	-1	-1	656	450000	728	300000	716	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	881	1272	783	783	881	948	1042	1090	1232	1422	200	500	150	100	50	6000	6320
6321	变异壮蜗牛	632	45	9	1	0	100	10	686	900000	-1	-1	656	450000	728	300000	716	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	969	1399	861	861	969	948	1042	1090	1232	1422	200	500	150	100	50	6000	6320
6322	变异壮蜗牛	632	45	9	1	0	100	10	686	900000	-1	-1	656	450000	728	300000	716	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1057	1527	939	939	1057	948	1042	1090	1232	1422	200	500	150	100	50	6000	6320
6323	变异壮蜗牛	632	45	9	1	0	100	10	686	900000	-1	-1	656	450000	728	300000	716	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1145	1654	1018	1018	1145	948	1042	1090	1232	1422	200	500	150	100	50	6000	6320
6329	壮蜗牛宝宝	632	45	9	0	1	100	10	686	900000	-1	-1	656	450000	728	300000	716	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	881	1272	783	783	881	948	1042	1090	1232	1422	200	500	150	100	50	6000	6320
6330	成年珍蜗牛	633	55	9	0	0	100	10	686	900000	-1	-1	656	500000	728	350000	716	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	918	1326	816	816	918	1051	1156	1208	1366	1576	200	500	150	100	50	6000	6330
6331	变异珍蜗牛	633	55	9	1	0	100	10	686	900000	-1	-1	656	500000	728	350000	716	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	986	1425	877	877	986	1051	1156	1208	1366	1576	200	500	150	100	50	6000	6330
6332	变异珍蜗牛	633	55	9	1	0	100	10	686	900000	-1	-1	656	500000	728	350000	716	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1055	1524	938	938	1055	1051	1156	1208	1366	1576	200	500	150	100	50	6000	6330
6333	变异珍蜗牛	633	55	9	1	0	100	10	686	900000	-1	-1	656	500000	728	350000	716	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1124	1624	999	999	1124	1051	1156	1208	1366	1576	200	500	150	100	50	6000	6330
