INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
220	ConfraternityCount	ConfraternityCount\ConfraternityCount.layout.xml	ConfraternityCount\ConfraternityCount.lua	1		0	0	帮战积分
221	AnqiShuxing	AnqiShuxing\AnqiShuxing.layout.xml	AnqiShuxing\AnqiShuxing.lua	1	aqjs	19	20	暗器属性调整
222	YuanbaoShop	YuanbaoShop\YuanbaoShop.layout.xml	YuanbaoShop\YuanbaoShop.lua	3	14	19	20	元宝商店界面
223	YBShopReference	YBShopReference\YBShopReference.layout.xml	YBShopReference\YBShopReference.lua	1	19	20	0	
224	ErjimimaShezhi	ErjimimaShezhi\ErjimimaShezhi.layout.xml	ErjimimaShezhi\ErjimimaShezhi.lua	1	yxaq	0	0	
225	ErjimimaXiugai	ErjimimaXiugai\ErjimimaXiugai.layout.xml	ErjimimaXiugai\ErjimimaXiugai.lua	1	yxaq	0	0	
226	Fangdao	Fangdao\Fangdao.layout.xml	Fangdao\Fangdao.lua	1	yxaq	0	0	
227	ExchangeSafe	ExchangeSafe\ExchangeSafe.layout.xml	ExchangeSafe\ExchangeSafe.lua	1	19	20	0	
228	ErjimimaJiesuo	ErjimimaJiesuo\ErjimimaJiesuo.layout.xml	ErjimimaJiesuo\ErjimimaJiesuo.lua	1	yxaq	0	0	
229	PetStudyNewSkill	PetStudyNewSkill\PetStudyNewSkill.layout.xml	PetStudyNewSkill\PetStudyNewSkill.lua	3	20	19	20	新版宠物普通技能学习界面
230	JinBiJiaoZi	JinBiJiaoZi\JinBiJiaoZi.layout.xml	JinBiJiaoZi\JinBiJiaoZi.lua	2	jz	19	20	金币兑换交子
231	FangChenMiRefuse	FangChenMiRefuse\FangChenMiRefuse.layout.xml	FangChenMiRefuse\FangChenMiRefuse.lua	0		0	0	未填实名拒绝登陆界面
232	ZdShop_BulkBuying	ZdShop_BulkBuying\ZdShop_BulkBuying.layout.xml	ZdShop_BulkBuying\ZdShop_BulkBuying.lua	0		0	0	未填实名拒绝登陆界面
233	BigBank	BigBank/BigBank.layout.xml	BigBank/BigBank.lua	2	52	19	20	全部仓库界面
245	AnqiUp	AnqiUp/AnqiUp.layout.xml	AnqiUp/AnqiUp.lua	3		0	0	暗器升级
