INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
589	16	99	150	天狼子	星宿派传送人	传送	5	2
590	16	100	143	天璇子	护卫使	打怪	5	4
591	16	96	92	王彦	星宿派任务发布人	师门	5	3
592	16	95	75	韩世忠	星宿派拜师人	拜师	5	3
593	16	142	55	丁春秋	兑换称号物品	掌门	5	3
594	16	87	70	施全	星宿派武功传授人	武功	5	3
595	16	94	46	破军子	骑牦牛技能传授人	骑乘	5	3
596	16	97	46	天鹰子	牦牛管理员	牦牛	5	3
597	16	101	89	狮吼子	引虫技能传授人	引虫	5	3
598	16	101	87	摘星子	制毒技能传授人	制毒	5	3
599	16	131	48	西域药篓子			99	5
600	16	94	151	知客使			5	4
601	17	94	158	场景：敦煌		传送	99	2
602	17	96	148	邓婆	天山巡山使	打怪	5	4
603	17	95	60	符敏仪	天山派任务发布人	师门	5	3
604	17	91	44	梅剑	天山派拜师人	拜师	5	3
605	17	88	44	兰剑	天山派武功传授人	武功	5	3
606	17	45	69	芦雨亭	骑雕技能传授人	骑乘	5	3
607	17	39	71	任飞虹	神雕管理员	神雕	5	3
608	17	123	67	石嫂	采冰术技能传授人	采冰	5	3
609	17	119	67	余婆	玄冰术技能传授人	玄冰	5	3
610	17	101	44	菊剑			5	4
611	17	90	120	乌老大	天山派传送人	传送	5	2
612	17	97	117	知客使			5	4
613	17	98	44	竹剑	天山派轻功传授人	轻功	5	4
614	18	33	58	场景：草原		传送	99	2
615	18	264	286	场景：洛阳		传送	99	2
616	18	34	39	场景：摩崖洞		传送	99	2
617	18	248	37	场景：雁北		传送	99	2
618	18	184	66	灰熊			1	5
619	18	253	210	金钱豹			1	5
620	18	241	74	寇封			2	5
621	18	156	163	骆奉仙			1	5
622	18	260	88	马承倩			2	5
623	18	130	49	马植			2	5
624	18	38	206	秦伯起			1	5
625	18	37	129	秦家寨喽啰			1	5
626	18	68	201	秦家寨亲兵			1	5
627	18	127	123	秦家寨探子			1	5
628	18	82	73	深水怪兽			1	5
629	18	240	262	西北狼			1	5
630	18	102	36	雁南正北校尉		城市	2	2
631	18	283	113	雁南正东校尉		城市	2	2
632	18	72	284	雁南正南校尉		城市	2	2
633	18	128	50	耶律莫哥			2	5
634	18	263	46	种世衡			2	5
635	18	242	73	周无畏			2	5
636	19	59	60	场景：草料场		传送	99	2
637	19	139	259	场景：古墓一		传送	99	2
638	19	228	280	场景：雁南		传送	99	2
639	19	153	202	八爪怪兽			1	5
640	19	184	79	打草谷辽兵			1	5
641	19	233	93	红枫熊			1	5
642	19	150	200	红枫蜘蛛			1	5
643	19	225	131	红寡妇			1	5
644	19	246	129	红铁爪			1	5
645	19	271	49	鲁平			2	5
646	19	231	203	苗庆			2	5
647	19	280	60	穆岛	兑换燕侯套装	燕侯	2	4
648	19	40	153	秦家寨护卫			1	5
649	19	36	249	秦家寨教头			1	5
650	19	163	136	秦家寨劫匪			1	5
651	19	233	192	曲端			2	5
652	19	234	24	雁北东北校尉		城市	2	2
653	19	116	29	雁北西北校尉		城市	2	2
654	19	32	128	雁北正西校尉		城市	2	2
655	19	195	41	耶律余睹			2	5
656	20	271	33	场景：长白山		传送	99	2
657	20	119	32	场景：辽西		传送	99	2
658	20	65	195	场景：水晶湖		传送	99	2
659	20	287	258	场景：雁南		传送	99	2
660	20	162	160	阿菲			2	5
661	20	161	156	阿林			2	5
662	20	77	124	白冥启			1	5
663	20	177	250	草原狼			1	5
664	20	97	281	草原西南校尉		城市	2	2
665	20	271	191	草原正东校尉		城市	2	2
666	20	46	206	草原正西校尉		城市	2	2
667	20	40	45	打草谷宋兵			1	5
668	20	275	146	端木元			1	5
669	20	199	202	老烈头			2	5
670	20	275	269	蒙古黑蜂			1	5
671	20	138	53	阮诚			2	5
672	20	190	200	阮老太太			2	5
673	20	198	202	阮实			2	5
674	20	78	246	闪电马匪			1	5
675	20	273	156	弯刀马匪			1	5
676	20	163	158	萧蔷			2	5
677	20	198	104	追风马匪			1	5
678	21	61	297	场景：草原		传送	99	2
679	21	37	211	场景：先王坟		传送	99	2
680	21	285	45	场景：雪原		传送	99	2
681	21	104	59	阿史那默谷			1	5
682	21	158	195	巴图			2	5
683	21	161	268	白狼王			1	5
684	21	164	199	伯颜			2	5
685	21	163	191	博尔伦			2	5
686	21	88	220	大黑蜂			1	5
687	21	71	96	黑衣马匪			1	5
688	21	208	59	红衣马匪			1	5
689	21	173	187	剑定	鉴定符商人	鉴定	2	3
690	21	222	70	李通			1	5
691	21	277	258	辽西东南校尉		城市	2	2
692	21	75	35	辽西西北校尉		城市	2	2
693	21	40	142	辽西正西校尉		城市	2	2
694	21	279	48	刘季	打造图商人	打造	2	3
695	21	242	52	龙胜			1	5
696	21	277	204	轻甲莽盖			1	5
697	21	217	47	萧允			1	5
698	21	170	206	耶律金			2	5
699	21	194	216	一品堂刺客			1	5
700	22	33	269	场景：草原		传送	99	1
701	22	286	73	场景：黄龙府		传送	99	1
702	22	153	107	车传仁	驿站老板	传送	2	1
703	22	116	158	冰封傀儡			1	5
704	22	216	282	长白正南校尉		城市	2	2
705	22	39	63	长白西北校尉		城市	2	2
706	22	280	154	长白正东校尉		城市	2	2
707	22	75	272	东北虎			1	5
708	22	269	270	纥石烈阿疏			1	5
709	22	57	169	黑熊			1	5
710	22	132	73	獠牙雪人			1	5
711	22	147	123	徒单福晋			2	5
712	22	234	78	完颜阿骨打			2	5
713	22	178	113	完颜讹里朵			2	5
714	22	117	108	完颜呵里布			2	5
715	22	166	94	完颜斡离不			2	5
716	22	157	127	完颜吴乞买			2	5
717	22	118	107	完颜兀术			2	5
718	22	147	121	完颜盈哥			2	5
719	22	147	120	完颜粘没喝			2	5
720	22	117	112	萧方智			2	5
721	22	201	190	雪人			1	5
722	22	230	141	雪山猎人			1	5
723	23	48	287	场景：长白山		传送	99	2
724	23	201	255	场景：雪狼湖		传送	99	2
725	23	279	201	巴伦莽盖			1	5
726	23	174	260	大黑熊			1	5
727	23	166	204	符夕颜			2	5
728	23	144	104	洪霸	宝石商人	宝石	2	3
729	23	253	285	黄龙东南校尉		城市	2	2
730	23	28	54	黄龙西北校尉		城市	2	2
731	23	290	115	黄龙正东校尉		城市	2	2
732	23	206	31	任肇			2	4
733	23	79	38	霍斯			1	5
734	23	190	48	刘傲天			2	5
735	23	46	276	慕容天狼			2	5
736	23	163	191	拓跋文			2	5
737	23	159	133	雪山狼			1	5
738	23	67	143	雪山莽盖			1	5
739	23	217	84	木云雪人			1	5
740	23	155	195	宇文苏			2	5
741	23	78	66	重甲莽盖			1	5
742	24	34	157	场景：苍山		传送	99	2
743	24	287	32	场景：大理		传送	99	2
744	24	34	279	场景：石林		传送	99	2
745	24	284	87	场景：温泉洞		传送	99	2
746	24	153	127	赤脚野人			1	5
747	24	57	73	刀琅玕			2	5
748	24	207	49	刀尧			2	5
749	24	57	75	刀璎珞			2	5
750	24	111	130	恶狼守卫			1	5
751	24	285	166	洱海正东校尉		城市	2	2
752	24	173	283	洱海正南校尉		城市	2	2
753	24	34	100	洱海正西校尉		城市	2	2
754	24	189	195	风狼			1	5
755	24	225	77	花斑豹			1	5
756	24	275	197	简丁	鉴定符商人	鉴定	2	3
757	24	134	276	狼族荆棘使			1	5
758	24	229	146	狼族探子			1	5
759	24	99	121	狼族战士			1	5
760	24	96	126	萨宁			2	5
761	25	286	56	场景：洱海		传送	99	2
762	25	278	122	场景：野人沟		传送	99	2
763	25	258	181	贝尔			1	5
764	25	37	172	苍山正西校尉		城市	2	2
765	25	294	153	苍山正东校尉		城市	2	2
766	25	146	284	苍山正南校尉		城市	2	2
767	25	52	89	长毛雪怪			1	5
768	25	264	202	迪亚			1	5
769	25	190	250	狼族神汉			1	5
770	25	138	236	狼族头人			1	5
771	25	262	198	狼族土司			1	5
772	25	158	70	狼族勇士			1	5
773	25	70	47	马兜灵	配方商人	配方	2	3
774	25	236	196	莫菲			1	5
775	25	195	113	萨都			2	5
776	25	260	182	萨鲁			2	5
777	25	164	53	孙坤	束河古镇	传送	2	1
778	25	155	205	萨玛			2	5
779	25	202	108	萨桑			2	5
780	25	76	91	萨雪			2	5
781	25	57	167	蓑衣野人			1	5
782	25	40	263	玄击金刚			1	5
783	25	47	104	雪狼			1	5
784	26	268	128	场景：洱海		传送	99	2
785	26	33	250	场景：南诏		传送	99	2
786	26	109	272	场景：树洞		传送	99	2
787	26	37	273	场景：盐湖		传送	99	2
788	26	112	34	场景：玉溪		传送	99	2
789	26	130	261	阿支			1	5
790	26	201	174	花岗狮王			1	5
791	26	76	185	花岗石人			1	5
792	26	217	147	花岗石狮			1	5
793	26	185	99	狼蛛			1	5
794	26	59	55	梁阿婆			2	5
795	26	45	44	秦红棉			2	5
796	26	226	36	石林东北校尉		城市	2	2
797	26	278	281	石林正南校尉		城市	2	2
798	26	45	177	石林正西校尉		城市	2	2
799	26	167	196	石人偃师			1	5
800	26	180	160	杨莲子			2	5
801	26	240	181	杨铁信			2	5
802	26	49	55	页岩石人			1	5
803	26	183	167	郑圆			2	5
804	26	183	166	郑君可			2	5
805	26	182	163	郑玄			2	5
806	26	273	45	棕熊			1	5
807	27	36	46	场景：石林		传送	99	2
808	27	54	167	场景：桃花源		传送	99	2
809	27	280	47	阿黑			2	5
810	27	277	44	阿依娜			2	5
811	27	246	273	大偃师			1	5
812	27	276	45	古鲁拉			2	5
813	27	57	73	剧毒狼蛛			1	5
814	27	87	258	龙血石人			1	5
815	27	46	51	萝卜			2	5
816	27	115	250	女娲石人			1	5
817	27	254	147	热布巴拉			1	5
818	27	49	51	索姆拉			2	5
819	27	222	213	偃师护法			1	5
820	27	33	251	玉溪西南校尉		城市	2	2
821	27	177	39	玉溪正北校尉		城市	2	2
822	27	197	280	玉溪正南校尉		城市	2	2
823	27	118	98	云母石人			1	5
824	28	106	285	场景：苗疆		传送	99	1
825	28	280	45	场景：石林		传送	99	1
826	28	187	43	车传福	驿站老板	传送	2	1
827	28	151	49	阿瓦			2	5
828	28	151	67	阿旺			2	5
829	28	128	50	白景武			2	5
830	28	147	47	白兰			2	5
831	28	193	95	丛林蜂			1	5
832	28	102	271	黑苗战士			1	5
833	28	282	143	黑沼豹			1	5
834	28	96	42	南诏西北校尉		城市	2	2
835	28	272	240	南诏东南校尉		城市	2	2
836	28	39	254	南诏西南校尉		城市	2	2
837	28	182	210	藤甲勇士			1	5
838	28	68	189	藤甲贼			1	5
839	28	103	210	图巴鲁			1	5
840	28	109	199	兀骨突			1	5
841	28	157	223	扬明			2	5
842	29	67	32	场景：南诏		传送	99	2
843	29	265	83	阿鼻修罗			1	5
844	29	92	266	阿会南			2	5
845	29	201	256	阿松			2	5
846	29	182	264	阿雨			2	5
847	29	205	208	厄修罗			1	5
848	29	196	161	古汉			1	5
849	29	252	260	洪天	宝石商人	宝石	2	3
850	29	250	45	苗疆东北校尉		城市	2	2
851	29	37	251	苗疆西南校尉		城市	2	2
852	29	281	160	苗疆正东校尉		城市	2	2
853	29	34	89	苗越刺客			1	5
854	29	186	271	石钟岩			2	5
855	29	37	198	万劫修罗			1	5
856	29	162	48	永夜修罗			1	5
857	29	44	40	沼泽鳄鱼			1	5
858	30	287	54	场景：龙泉		传送	99	2
859	30	42	227	场景：船坞		传送	99	2
860	30	34	50	场景：苏州		传送	99	2
861	30	265	286	场景：武夷		传送	99	2
862	30	91	45	场景：夜西湖		传送	99	2
863	30	64	240	白堤柳鬼			1	5
864	30	217	74	断桥花妖			1	5
865	30	51	184	归风庄庄客			1	5
866	30	68	48	花港毒蜂			1	5
867	30	141	47	金大坚			2	5
868	30	251	228	龙井水贼			1	5
869	30	187	256	马汉			2	5
870	30	182	209	水鬼探子			1	5
871	30	164	262	苏飞			2	5
872	30	46	55	王朝			2	5
873	30	45	267	西湖西南校尉		城市	2	2
874	30	261	231	西湖正东校尉		城市	2	2
875	30	39	139	西湖正西校尉		城市	2	2
876	30	155	55	张叔夜			2	5
877	31	172	280	场景：剑冢		传送	99	2
878	31	34	274	场景：西湖		传送	99	2
879	31	51	115	阿青			2	5
880	31	242	255	常归云			1	5
881	31	227	47	法河			2	5
882	31	239	38	法湖			2	5
883	31	224	47	法江			2	5
884	31	207	63	法念			2	5
885	31	221	70	归风剑魄			1	5
886	31	242	162	归风庄剑师			1	5
887	31	60	194	拦路水鬼			1	5
888	31	165	137	雷焕			2	5
889	31	79	250	龙泉豹			1	5
890	31	218	282	龙泉东南校尉		城市	2	2
891	31	63	33	龙泉正北校尉		城市	2	2
892	31	35	121	龙泉正西校尉		城市	2	2
893	31	129	98	水鬼刺客			1	5
894	31	48	51	通天			1	5
895	31	150	126	翁伯之			2	5
896	31	151	121	翁季之			2	5
897	31	154	131	翁叔之			2	5
898	31	174	260	凿船水鬼			1	5
899	31	120	171	纵火水鬼			1	5
900	32	96	44	场景：黄龙洞		传送	99	2
901	32	283	180	场景：梅岭		传送	99	2
902	32	248	286	场景：南海		传送	99	2
903	32	36	33	场景：西湖		传送	99	2
904	32	158	113	白花蜘蛛			1	5
905	32	202	42	芙蓉			2	5
906	32	165	213	含笑			2	5
907	32	212	47	涧汀	鉴定符商人	鉴定	2	3
908	32	51	229	千年冰魄			1	5
909	32	194	52	曲阳			2	5
910	32	169	239	山越刀客			1	5
911	32	156	54	山越盗匪			1	5
912	32	152	47	山越游魂			1	5
913	32	268	244	山越战士			1	5
914	32	50	84	深谷白猿			1	5
915	32	258	125	树甲哨兵			1	5
916	32	205	43	水仙			2	5
917	32	158	143	忘尘			2	5
918	32	254	38	武夷东北校尉		城市	2	2
919	32	113	280	武夷正南校尉		城市	2	2
920	32	92	172	武夷正西校尉		城市	2	2
921	32	195	42	紫薇			2	5
922	33	192	279	场景：苗人洞		传送	99	2
923	33	33	275	场景：武夷		传送	99	2
924	33	109	105	丛林野人			1	5
925	33	163	284	冬刺			2	5
926	33	162	274	甘草			2	5
927	33	40	250	红袍蜘蛛			1	5
928	33	161	286	荆棘			2	5
929	33	169	240	克里斯蒂安			2	5
930	33	230	250	流寇			1	5
931	33	274	32	梅岭东北校尉		城市	2	2
932	33	31	90	梅岭西北校尉		城市	2	2
933	33	282	236	梅岭正东校尉		城市	2	2
934	33	167	174	棚民			1	5
935	33	222	53	山越护法			1	5
936	33	120	71	山越祭司			1	5
937	33	170	74	沈万三			2	5
938	33	195	48	太阳花			2	5
939	33	159	285	银叶			2	5
940	33	192	70	月季			2	5
941	34	70	188	场景：海贼洞		传送	99	1
942	34	286	174	场景：琼州		传送	99	1
943	34	34	36	场景：武夷		传送	99	1
944	34	204	259	车传信	驿站老板	传送	2	1
945	34	111	60	丁涟漪			2	5
946	34	194	100	鳄鱼帮打手			1	5
947	34	158	80	鳄鱼帮混混			1	5
948	34	214	243	李老太太			2	5
949	34	292	58	南海东北校尉		城市	2	2
950	34	74	100	南海鳄鱼			1	5
951	34	239	216	南海海盗			1	5
952	34	108	227	南海西南校尉		城市	2	2
953	34	134	40	南海正北校尉		城市	2	2
954	34	250	186	石敢当			2	5
955	34	165	167	石老人			1	5
956	34	115	58	叶流凡			2	5
957	34	265	193	岳不平			2	5
958	34	206	237	岳仲秋			2	5
959	35	279	286	场景：南海		传送	99	2
960	35	169	95	鳄鱼帮杀手			1	5
961	35	111	200	鳄鱼帮堂主			1	5
962	35	206	218	鳄鱼帮勇士			1	5
963	35	246	138	洪龙	宝石商人	宝石	2	3
964	35	246	151	凌忆慈			2	5
965	35	252	63	南海盗神			1	5
966	35	273	52	琼州东北校尉		城市	2	2
967	35	243	150	琼州正东校尉		城市	2	2
968	35	80	139	琼州正西校尉		城市	2	2
969	35	110	110	裘老七			1	5
970	35	260	195	嗜血鳄鱼			1	5
971	35	274	269	悠悠			2	5
972	35	241	159	元子衿			2	5
973	35	256	242	岳老三			2	5
974	35	280	215	武吉	南海铸师	商人	2	5
975	77	15	24	孟婆			99	2
976	112	290	60	场景：圣兽山		传送	99	2
977	112	82	30	归佳		传送	2	2
978	112	85	38	沙洲冷			2	2
979	112	130	86	兔子			3	3
980	112	169	66	乌龟			3	3
981	112	54	65	燕子			3	3
982	112	139	111	刺猬			3	4
983	112	234	57	狗			3	4
984	112	203	69	猴子			3	4
985	112	115	122	浣熊			3	5
986	112	200	162	狼			3	5
987	112	175	128	松鼠			3	5
988	112	153	157	鹦鹉			3	5
989	112	228	166	蝙蝠			3	6
990	112	59	151	大螳螂			3	6
991	112	68	121	鳄鱼			3	6
992	112	101	155	蜥蜴			3	6
993	112	62	256	獾			4	7
994	112	96	254	老虎			4	7
995	112	61	218	猫头鹰			4	7
996	112	127	254	野猪			4	7
997	112	250	236	豹子			4	8
998	112	192	232	冰蚕			4	8
999	112	181	268	鸵鸟			4	8
1000	112	216	270	鹰			4	8
1001	112	216	223	北极熊			4	9
1002	112	276	121	大猩猩			4	9
1003	112	285	149	剑齿虎			4	9
1004	112	263	166	孔雀			4	9
1005	112	247	98	駮马			4	10
1006	112	275	85	剑龙			4	10
1007	112	227	92	犀牛			4	10
1008	166	18	16	场景：宝藏二		传送	99	2
1009	166	234	238	场景：敦煌		传送	99	2
1010	166	157	91	盗墓小贼			1	5
1011	166	236	230	胡德海			2	5
1012	166	34	230	护宝神兽			1	5
1013	166	175	100	孙德龙			2	5
1014	166	241	236	姚夫			2	5
1015	169	20	10	场景：宝藏三		传送	99	2
1016	169	233	236	场景：宝藏一		传送	99	2
1017	169	42	198	护宝神兽			1	5
1018	169	215	206	沙漠马匪			1	5
1019	169	236	226	姚公			2	5
1020	229	58	226	场景：辽西		传送	99	2
1021	229	53	219	周游		冰抗医生	5	4
1022	229	215	55	博拉			2	4
1023	229	59	80	豆豆			2	4
1024	229	172	25	宁令哥			2	4
1025	229	58	80	袁平			2	4
1026	229	83	37	企鹅王			1	5
1027	229	38	222	雪原狼			1	5
1028	229	50	148	银皑雪人			1	5
1029	229	168	210	雪原莽盖			1	5
1030	229	142	110	成年灵企鹅			1	5
1031	229	180	163	成年圣企鹅			1	5
1032	191	17	237	场景：宝藏二		传送	99	2
1033	191	245	16	场景：宝藏四		传送	99	2
1034	191	205	48	护宝神兽			1	5
1035	191	97	150	护宝铜人			1	5
1036	191	25	240	姚伯			2	5
1037	192	26	249	场景：宝藏三		传送	99	2
1038	192	246	22	场景：宝藏五		传送	99	2
1039	192	234	165	护宝神兽			1	5
1040	192	74	206	寻宝豪杰			1	5
1041	192	21	235	姚仲			2	5
1042	193	128	247	场景：宝藏四		传送	99	2
1043	193	123	213	洞穴石人			1	5
1044	193	127	25	木桶伯			1	5
1045	193	135	238	姚叔			2	5
1046	194	43	31	张正贵		伸冤	2	2
1047	199	23	228	场景：雁北		传送	99	2
1048	199	135	30	打草谷辽兵			1	5
1049	199	207	215	红枫熊			1	5
1050	199	221	149	红枫蜘蛛			1	5
1051	199	48	25	辽兵			1	5
1052	199	44	218	秦家寨护卫			1	5
1053	199	101	218	秦家寨教头			1	5
1054	199	162	219	秦家寨劫匪			1	5
1055	200	89	242	场景：梅岭		传送	99	2
1056	200	84	169	红袍蜘蛛			1	5
1057	200	185	43	流寇			1	5
1058	200	85	122	棚民			1	5
1059	200	121	15	山越护法			1	5
1060	200	29	100	山越祭司			1	5
1061	201	235	230	场景：玄武岛		传送	99	2
1062	201	221	150	駮马			4	5
1063	201	30	48	袋鼠			4	5
1064	201	187	98	剑龙			4	5
1065	201	161	166	犀牛			4	5
1066	201	71	207	小象			4	5
1067	201	190	230	雪貂			4	5
1068	202	69	104	场景：雁北		传送	99	2
1069	202	29	68	场景：古墓二		传送	99	2
1070	202	62	88	燕别秋	燕王古墓接引	任务	2	5
1071	202	107	94	鬼剑			1	5
1072	202	65	34	魅影偃师			1	5
1073	202	74	90	偷猎者			1	5
1074	203	106	18	场景：古墓三		传送	99	2
1075	203	87	93	场景：古墓一		传送	99	2
1076	203	45	87	石人			1	5
1077	203	45	87	树人			1	5
1078	203	101	35	岩魔			1	5
1079	204	7	24	场景：古墓二		传送	99	2
1080	204	110	114	场景：古墓四		传送	99	2
1081	204	105	104	缠丝蜘蛛王			1	5
1082	204	103	65	毒丝蜘蛛王			1	5
1083	204	64	16	墓穴毒蜂			1	5
1084	204	24	12	墓穴毒蛛			1	5
1085	205	103	10	场景：古墓三		传送	99	2
1086	205	63	52	场景：古墓五		传送	99	2
1087	205	57	35	春三十娘			1	5
1088	205	102	18	灰斑毒蛛			1	5
1089	205	66	112	吸血蝙蝠			1	5
1090	206	104	11	场景：古墓六		传送	99	2
1091	206	20	19	场景：古墓四		传送	99	2
1092	206	51	27	淬毒蛛			1	5
1093	206	104	36	伏地魔			1	5
1094	206	92	25	郭底辉	配方商人	配方	2	3
1095	206	51	27	骷髅兵			1	5
1096	207	64	60	场景：古墓七		传送	99	2
1097	207	64	116	场景：古墓五		传送	99	2
1098	207	65	44	白帝			1	5
1099	207	64	64	白帝的阴影			1	5
1100	207	44	99	鬼魂			1	5
1101	207	76	99	幽灵			1	5
1102	208	79	20	场景：古墓八		传送	99	2
1103	208	28	115	场景：古墓六		传送	99	2
1104	208	102	84	冥将			1	5
1105	208	72	29	死亡的嫔妃			1	5
1106	208	18	81	亡灵铠甲武士			1	5
1107	209	38	31	场景：古墓九		传送	99	2
1108	209	10	13	场景：古墓七		传送	99	2
1109	209	27	38	火狻猊			1	5
1110	209	25	37	泥浆武士			1	5
1111	209	92	16	血饮狂刀			1	5
1112	210	14	15	场景：古墓八		传送	99	2
1113	210	94	116	驳马			1	5
1114	210	64	77	赤霄			1	5
1115	210	58	78	赤霄火魂			1	5
1116	210	33	30	熔岩石人			1	5
1117	211	24	224	场景：西湖		传送	99	2
1118	211	140	213	断桥花妖			1	5
1119	211	22	206	花港毒蜂			1	5
1120	211	208	94	流寇			1	5
1121	211	49	98	龙井水贼			1	5
1122	211	206	223	密探			1	5
1123	211	142	235	水鬼探子			1	5
1124	212	15	15	场景：龙泉		传送	99	2
1125	212	130	238	暗杀者			1	5
1126	212	195	149	大剑师			1	5
1127	212	69	194	荒野剑客			1	5
1128	212	19	39	剑齿豹			1	5
1129	212	118	36	剑灵			1	5
1130	212	43	104	剑冢刺客			1	5
1131	213	22	235	场景：雁南		传送	99	2
1132	213	17	229	摩云天	摩崖洞接引	任务	2	5
1133	213	216	176	工魂影像			1	5
1134	213	17	216	秦家寨恶霸			1	5
1135	213	114	140	秦家寨护卫使			1	5
1136	213	114	88	秦家寨头领			1	5
1137	213	106	210	秦家寨土匪			1	5
1138	213	57	226	秦家寨卫兵			1	5
1139	214	21	36	场景：苍山		传送	99	2
1140	214	202	77	狼族神汉			1	5
1141	214	204	26	狼族头人			1	5
1142	214	182	50	狼族土司			1	5
1143	214	114	99	狼族勇士			1	5
1144	214	32	72	蓑衣野人			1	5
1145	214	90	107	雪狼			1	5
1146	215	25	235	场景：洱海		传送	99	2
1147	215	84	161	赤脚野人			1	5
1148	215	47	87	风狼			1	5
1149	215	42	216	花斑豹			1	5
1150	215	175	208	狼族荆棘使			1	5
1151	215	35	27	狼族探子			1	5
1152	215	230	77	狼族战士			1	5
1153	216	108	229	场景：武夷		传送	99	2
1154	216	196	207	白花蜘蛛			1	5
1155	216	122	124	山越护法			1	5
1156	216	119	98	山越祭司			1	5
1157	216	199	163	山越战士			1	5
1158	216	107	216	深谷白猿			1	5
1159	216	113	95	树甲哨兵			1	5
1160	217	230	236	场景：草原		传送	99	2
1161	217	203	229	草原狼			1	5
1162	217	25	218	打草谷宋兵			1	5
1163	217	175	207	蒙古黑蜂			1	5
1164	217	138	178	闪电马匪			1	5
1165	217	120	83	弯刀马匪			1	5
1166	217	170	36	追风马匪			1	5
1167	218	127	19	场景：辽西		传送	99	2
1168	218	207	128	盗墓马匪			1	5
1169	218	62	32	鬼狼			1	5
1170	218	33	27	黑毒蜂			1	5
1171	218	105	74	护墓莽盖			1	5
1172	218	36	169	骷髅			1	5
1173	218	125	238	一品堂刺客			1	5
1174	219	237	18	场景：石林		传送	99	2
1175	219	50	37	花岗石人			1	5
1176	219	50	224	花岗石狮			1	5
1177	219	22	68	狼蛛			1	5
1178	219	128	191	页岩石人			1	5
1179	219	107	28	棕熊			1	5
1180	220	20	19	场景：玉溪		传送	99	2
1181	220	43	24	花斑豹			1	5
1182	220	24	61	迷人蜂			1	5
1183	220	229	175	桃根仙			1	5
1184	220	123	63	桃花仙			1	5
1185	220	93	195	桃实仙			1	5
1186	220	208	220	桃枝仙			1	5
1187	221	42	228	场景：南海		传送	99	2
1188	221	193	104	鳄鱼帮打手			1	5
1189	221	48	72	鳄鱼帮混混			1	5
1190	221	27	177	南海鳄鱼			1	5
1191	221	218	160	南海海盗			1	5
1192	221	155	155	石老人			1	5
1193	222	108	228	场景：黄龙府		传送	99	2
1194	222	143	53	巴伦莽盖			1	5
1195	222	154	217	大黑熊			1	5
1196	222	29	180	雪山狼			1	5
1197	222	184	210	雪山莽盖			1	5
1198	222	30	63	重甲莽盖			1	5
1199	235	49	23	场景：石林		传送	99	2
1200	235	231	169	场景：盐坑		传送	99	2
1201	235	32	38	丁波浪			2	5
1202	235	31	42	李若水			2	5
1203	235	176	194	王思嘉			2	5
1204	235	48	34	杨元			2	5
1205	235	51	42	宇文氏			2	5
1206	235	172	204	郑杨			2	5
1207	235	214	37	古里赤			1	5
1208	235	62	102	盐湖鳄鱼			1	5
1209	235	97	35	盐湖熊			1	5
1210	235	56	156	挖盐苦工			1	5
1211	235	150	125	挖盐木人			1	5
1212	235	186	54	偃师监工			1	5
1213	235	199	188	偃师守卫			1	5
1214	237	100	98	场景：盐湖		传送	99	2
1215	237	80	85	盐湖熊			1	5
1216	237	91	71	盐湖鳄鱼			1	5
1217	237	29	79	挖盐苦工			1	5
1218	237	64	55	挖盐木人			1	5
1219	237	89	36	偃师监工			1	5
1220	237	39	40	偃师守卫			1	5
1221	242	33	130	场景：敦煌		传送	99	2
1222	242	159	287	场景：嵩山		传送	99	2
1223	242	286	129	场景：雁南		传送	99	2
1224	242	59	83	阿紫	剧情任务		7	5
1225	242	160	134	周天师	桃李天下	任务	7	5
1226	242	234	140	吴此仁	八方来客	任务	7	5
1227	242	118	184	立繁	昊玉女侠	任务	7	5
1228	242	252	62	卜悔琪		任务	7	5
1229	242	113	75	巴天石			7	5
1230	242	136	164	白萌生	药店老板	卖药	6	3
1231	242	136	169	白颖明	药理学大师	药理	5	4
1232	242	133	164	白颖中	药店老板	卖药	6	3
1233	242	253	111	宝珠			7	5
1234	242	122	74	北条忠胜			7	5
1235	242	90	208	毕昇			7	5
1236	242	158	32	蔡卞			7	5
1237	242	125	97	蔡丙臣			7	5
1238	242	126	96	蔡京			7	5
1239	242	144	68	陈夫之	结拜称号	结拜	5	4
1240	242	238	152	陈寿庭			7	5
1241	242	83	149	陈先生	钱庄账房	钱庄	5	4
1242	242	172	90	陈永仁	领取双倍经验	领双	5	4
1243	242	98	205	程安			7	5
1244	242	88	205	程颢			7	5
1245	242	85	208	程颐			7	5
1246	242	83	155	褚先生	钱庄账房	钱庄	5	4
1247	242	220	200	春儿			7	5
1248	242	230	176	单正			7	5
1249	242	177	176	董昌	首饰店伙计	首饰	6	3
1250	242	158	181	冬冬	金币元宝寄售	寄售	5	4
1251	242	255	134	窦梧桐	江湖游医	恢复	5	4
1252	242	140	95	范纯仁	帮会管理	帮会	5	2
1253	242	138	140	范统	酒店老板	食物	6	3
1254	242	142	113	范移城	移民接待使	移民	5	4
1255	242	209	152	风胡子	武器装备宗师	强化	5	4
1256	242	87	155	冯先生	钱庄账房	钱庄	5	4
1257	242	155	174	冯铸铁	材料加工大师	加工	5	4
1258	242	193	172	符敏之	裁缝大师	裁缝	5	4
1259	242	84	116	盖千鸣			7	5
1260	242	198	58	高俅			7	5
1261	242	110	162	龚彩丽	暗金宝箱兑换使者	兑换	5	4
