INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
344	915	54	-1	0	0	15	13	45	166	胡德海		智慧的试炼	914	-1	-1	236	230			
345	917	54	-1	0	0	15	13	45	166	孙德龙		信用的试炼	916	-1	-1	175	100			
346	918	26	4	0	0	20	18	120	15	韩映雪		重攻轻守	-1	-1	-1	43	108			
347	920	26	4	0	0	20	18	120	2	王韶		三人同行	919	-1	-1	217	255			
348	922	26	4	0	0	20	18	120	1	庞安时		一代奇才	921	-1	-1	106	111			
349	906	14	-1	0	0	15	13	45	3	萧让		驱逐恶猿	-1	-1	-1	209	79			
350	907	14	-1	0	0	18	16	48	3	萧让		驱逐铜人	-1	-1	-1	209	79			
351	910	41	-1	0	0	20	18	50	30	马汉		龙井水贼	-1	-1	-1	187	256			
352	916	54	-1	0	0	15	13	45	166	孙德龙		武艺的试炼	915	-1	-1	175	100			
353	921	26	4	0	0	20	18	120	1	庞安时		回马枪	920	-1	-1	106	111			
354	919	26	4	0	0	20	18	120	2	王韶		子午针灸经	918	-1	-1	217	255			
355	923	26	4	0	0	20	18	120	2	王韶		尽点人事	922	-1	-1	217	255			
356	101	10	-1	0	0	-1	20	120	2	木婉清		木婉清任务	8	-1	-1	106	135			
357	101	10	-1	0	0	-1	40	120	0	耶律大石		萧峰任务	23	-1	-1	118	62			
358	926	29	-1	0	0	31	29	61	18	马承倩		#Y私通辽国	-1	-1	-1	259	88			
359	927	29	-1	0	0	33	31	63	18	耶律莫哥		诚意的证明	926	-1	-1	129	50			
360	928	29	-1	0	0	34	32	64	18	耶律莫哥		罪恶的交易	927	-1	-1	129	50			
361	929	42	-1	0	0	36	34	66	31	翁季之		#Y曾经痴狂少年时	-1	-1	-1	152	122			
362	930	42	-1	0	0	37	35	67	31	翁季之		行侠仗义	929	-1	-1	152	122			
363	931	42	-1	0	0	39	37	69	31	法念		云消雾散	930	-1	-1	208	62			
364	932	35	-1	0	0	41	39	71	25	萨玛		#Y狼穴大营	-1	-1	-1	154	205			
365	933	35	-1	0	0	42	40	72	25	萨玛		姐妹情深	932	-1	-1	154	205			
366	934	35	-1	0	0	44	42	74	25	萨雪		长毛雪怪	933	-1	-1	76	91			
367	935	30	-1	0	0	46	44	76	19	曲端		#Y清除熊患	-1	-1	-1	234	192			
368	936	30	-1	0	0	47	45	77	19	曲端		打草谷辽兵	935	-1	-1	234	192			
369	937	30	-1	0	0	49	47	79	19	苗庆		恶梦缠身	936	-1	-1	232	203			
370	938	43	-1	0	0	52	50	82	32	忘尘		#Y受人之托	-1	-1	-1	157	143			
371	939	43	-1	0	0	54	50	84	32	曲阳		山越游魂	938	-1	-1	195	53			
372	940	37	-1	0	0	56	54	86	26	杨铁信		#Y深情的遥望	605	-1	-1	241	181			
373	941	37	-1	0	0	57	55	87	26	秦红棉		石狮首领的复仇	940	606	-1	45	44			
374	942	37	-1	0	0	58	56	88	26	秦红棉		千里传佳音	941	-1	-1	45	44			
375	943	31	-1	0	0	59	57	89	20	萧蔷		#Y草原的劫匪	-1	-1	-1	164	159			
376	250	55	-1	0	0	75	73	105	2	李工部		#Y英雄不怕远征难	-1	-1	-1	160	128			
377	251	55	-1	0	0	75	73	105	2	李工部		#Y古来英雄皆寂寞	-1	-1	-1	160	128			
378	252	55	-1	0	0	75	73	105	2	李工部		#Y天下英雄谁敌手	-1	-1	-1	160	128			
379	420	55	-1	0	0	40	40	100	1	欧冶子		血浴神兵	-1	-1	-1	266	140			
380	101	10	-1	0	0	-1	30	120	5	阮星竹		阿朱任务	15	-1	-1	108	140			
381	101	10	-1	0	0	-1	20	120	6	钟灵		钟灵任务	8	-1	-1	250	168			
382	101	10	-1	0	0	-1	20	120	2	段延庆		段延庆任务	8	-1	-1	215	284			
383	101	10	-1	0	0	-1	20	120	2	段正淳		段誉任务	8	-1	-1	62	35			
384	101	10	-1	0	0	-1	30	120	1	阿碧		阿碧任务	15	-1	-1	128	74			
385	101	10	-1	0	0	-1	30	120	1	王夫人		王语嫣任务	15	-1	-1	94	177			
386	101	10	-1	0	0	-1	50	120	0	阿紫		阿紫任务	32	-1	-1	59	83			
387	101	10	-1	0	0	-1	60	120	1	慕容复		慕容复任务	37	-1	-1	129	76			
388	101	10	-1	0	0	-1	60	120	2	叶二娘		虚竹任务	37	-1	-1	54	265			
389	101	10	-1	0	0	-1	60	120	8	鸠摩智		鸠摩智任务	37	-1	-1	62	98			
390	101	10	-1	0	0	-1	70	120	0	赫连铁树		银川公主任务	45	-1	-1	113	63			
391	730	37	-1	0	0	80	79	120	26	郑玄		同命相连	-1	-1	-1	182	163			
392	731	56	-1	0	0	83	79	120	235	王思嘉		笔迹	733	-1	-1	176	194			
393	732	56	-1	0	0	83	79	120	235	郑杨		奈何忠义老	731	-1	-1	172	204			
394	733	56	-1	0	0	83	79	120	235	李若水		惘然劫	-1	-1	-1	31	42			
395	734	56	-1	0	0	83	79	120	235	杨元		旺财	-1	-1	-1	48	34			
396	735	56	-1	0	0	83	79	120	235	王思嘉		傀儡木人	-1	-1	-1	176	194			
397	736	56	-1	0	0	83	79	120	235	李若水		鳄毒膏	-1	-1	-1	31	42			
398	725	56	-1	0	0	80	79	120	235	杨元		白沙村的厄运	-1	-1	-1	48	34			
399	726	56	-1	0	0	80	79	120	235	杨元		月夜惊梦	-1	-1	-1	48	34			
400	727	56	-1	0	0	83	79	120	235	杨元		忍无可忍	734	-1	-1	48	34			
401	728	56	-1	0	0	87	83	120	235	郑杨		突袭偃师	-1	-1	-1	172	204			
402	729	56	-1	0	0	87	83	120	235	郑杨		歃血之约	728	-1	-1	172	204			
403	737	32	-1	0	0	70	70	120	21	耶律金		寻求温暖的办法	-1	-1	-1	170	206			
404	738	57	-1	0	0	70	70	120	229	周游		通知宁令哥	-1	-1	-1	53	219			
405	739	57	-1	0	0	70	70	120	229	周游		冰天雪地灵企鹅	-1	-1	-1	53	219			
406	740	57	-1	0	0	70	70	120	229	周游		父亲的想念	-1	-1	-1	53	219			
407	741	57	-1	0	0	73	73	120	229	周游		思乡情怯	737	-1	-1	53	219			
408	742	57	-1	0	0	70	70	120	229	宁令哥		冰天雪地圣企鹅	-1	-1	-1	172	24			
409	743	57	-1	0	0	73	73	120	229	宁令哥		冰封的保护神	-1	-1	-1	172	24			
410	744	57	-1	0	0	73	73	120	229	宁令哥		冰山上的来客	-1	-1	-1	172	24			
411	745	57	-1	0	0	75	75	120	229	博拉		雪原莽盖	-1	-1	-1	215	55			
412	746	57	-1	0	0	75	75	120	229	博拉		冰天雪地寻豆豆	-1	-1	-1	215	55			
413	747	57	-1	0	0	75	75	120	229	袁平		豆豆的保镖	746	-1	-1	58	80			
414	748	57	-1	0	0	75	75	120	229	博拉		一封家书	747	-1	-1	215	55			
415	944	28	7	0	0	30	28	120	17	兰剑		自立门户	-1	-1	-1	88	44			
416	945	28	7	0	0	30	28	120	2	王韶		戎马倥偬	944	-1	-1	217	255			
417	946	28	7	0	0	30	28	120	2	王韶		三人并行	945	-1	-1	217	255			
418	947	28	7	0	0	30	28	120	18	种世衡		就地正法	946	-1	-1	263	47			
419	948	28	7	0	0	30	28	120	18	种世衡		三生有幸	947	-1	-1	263	47			
420	949	28	7	0	0	30	28	120	2	王韶		游山玩水	948	-1	-1	217	255			
421	961	20	0	0	0	30	28	120	9	玄慈		少林旧事	-1	-1	-1	38	99			
422	962	20	0	0	0	30	28	120	2	王韶		鞍之战	961	-1	-1	217	255			
423	963	20	0	0	0	30	28	120	2	王韶		三人偕行 	962	-1	-1	217	255			
424	964	20	0	0	0	30	28	120	18	种世衡		困兽犹斗	963	-1	-1	263	47			
425	965	20	0	0	0	30	28	120	18	种世衡		少林传奇	964	-1	-1	263	47			
426	966	20	0	0	0	30	28	120	2	王韶		灭此朝食	965	-1	-1	217	255			
427	400	13	-1	0	0	26	26	66	2	赵天师		十年又十年	-1	-1	-1	160	156			
428	401	11	-1	0	0	26	26	66	0	周天师		学习组队	-1	-1	-1	160	134			
429	402	11	-1	0	0	26	26	66	0	吴此仁		练习组队	401	-1	-1	234	140			
430	403	11	-1	0	0	26	26	66	0	周天师		天师的期待（1）	-1	-1	-1	160	134			
431	404	11	-1	0	0	28	28	68	0	周天师		洛阳棋圣	-1	-1	-1	160	134			
432	405	11	-1	0	0	28	28	68	0	王积薪		大理棋圣	404	-1	-1	271	88			
433	406	13	-1	0	0	28	28	68	2	刘仲甫		苏州棋圣	405	-1	-1	275	95			
434	407	12	-1	0	0	28	28	68	1	张奕国		黑白	406	-1	-1	174	147			
435	408	11	-1	0	0	28	28	68	0	卜悔琪		生死棋局	407	-1	-1	252	62			
436	409	11	-1	0	0	28	28	68	0	周天师		天师的期待（2）	-1	-1	-1	160	134			
437	410	11	-1	0	0	30	30	70	0	周天师		试炼之所摩崖洞	-1	-1	-1	160	134			
438	411	58	-1	0	0	30	30	70	213	摩云天		清剿摩崖洞	410	-1	-1	17	229			
439	412	11	-1	0	0	30	30	70	0	周天师		天师的期待（3）	-1	-1	-1	160	134			
440	413	11	-1	0	0	32	32	72	0	周天师		贼兵入侵	-1	-1	-1	160	134			
441	414	11	-1	0	0	32	32	72	0	立繁		造反恶贼	413	-1	-1	118	184			
442	415	11	-1	0	0	32	32	72	0	周天师		天师的期待（4）	-1	-1	-1	160	134			
443	416	11	-1	0	0	35	35	75	0	周天师		偷袭门派	-1	-1	-1	160	134			
444	417	11	-1	0	0	35	35	75	0	立繁		江湖宵小	416	-1	-1	118	184			
445	418	11	-1	0	0	35	35	75	0	周天师		天师的期待（5）	-1	-1	-1	160	134			
446	419	11	-1	0	0	38	38	78	0	周天师		连环套连环	-1	-1	-1	160	134			
447	422	12	-1	0	0	38	38	78	1	钱宏宇		干掉余毒	419	-1	-1	62	162			
448	423	12	-1	0	0	38	38	78	1	钱宏宇		花剑雨的烦恼	422	-1	-1	62	162			
449	424	12	-1	0	0	38	38	78	1	钱宏宇		干掉红熊王	423	-1	-1	62	162			
450	425	12	-1	0	0	38	38	78	1	花剑雨		最后一环	424	-1	-1	250	108			
451	426	12	-1	0	0	38	38	78	1	钱宏宇		干掉葛荣	425	-1	-1	62	162			
452	427	12	-1	0	0	38	38	78	1	钱宏宇		大功告成	425	-1	-1	62	162			
453	428	11	-1	0	0	38	38	78	0	周天师		天师的期待（6）	-1	-1	-1	160	134			
454	429	11	-1	0	0	40	40	80	0	周天师		人在江湖	-1	-1	-1	160	134			
455	430	11	-1	0	0	40	40	80	0	范纯仁		鬼推磨	429	-1	-1	140	96			
456	432	11	-1	0	0	40	40	80	0	乔致广		回报	431	-1	-1	174	114			
457	433	11	-1	0	0	40	40	80	0	周天师		天师的期待（7）	-1	-1	-1	160	134			
458	434	11	-1	0	0	42	42	82	0	周天师		御赐套装	-1	-1	-1	160	134			
459	435	12	-1	0	0	42	42	82	1	梁师成		寻找万灵石	434	-1	-1	170	138			
460	436	11	-1	0	0	42	42	82	1	梁师成		回报天师	435	-1	-1	170	138			
461	437	11	-1	0	0	42	42	82	0	周天师		天师的期待（8）	-1	-1	-1	160	134			
462	438	11	-1	0	0	45	45	85	0	周天师		生财之道	-1	-1	-1	160	134			
463	439	11	-1	0	0	45	45	85	0	芮福祥		天地奇物	438	-1	-1	254	145			
464	470	11	-1	0	0	45	45	85	0	芮福祥		苏州救急	439	-1	-1	254	145			
465	471	12	-1	0	0	45	45	85	1	呼延豹		太湖水寨	470	-1	-1	243	215			
466	472	12	-1	0	0	45	45	85	1	呼延豹		洛阳漕运使	471	-1	-1	243	215			
467	473	11	-1	0	0	45	45	85	0	赵明诚		大理漕运使	472	-1	-1	228	175			
468	474	13	-1	0	0	45	45	85	2	王若禹		苏州漕运使	473	-1	-1	54	192			
469	475	12	-1	0	0	45	45	85	1	陆士铮		回复师命	474	-1	-1	234	78			
470	476	11	-1	0	0	45	45	85	0	周天师		天师的期待（9）	-1	-1	-1	160	134			
471	477	11	-1	0	0	48	48	88	0	周天师		试炼之所燕王古墓	-1	-1	-1	160	134			
472	478	59	-1	0	0	48	48	88	202	燕别秋		探索古墓	477	-1	-1	62	88			
473	479	59	-1	0	0	48	48	88	202	燕别秋		燕弦之玉	477	-1	-1	62	88			
474	480	11	-1	0	0	48	48	88	0	周天师		天师的期待（10）	-1	-1	-1	160	134			
475	481	11	-1	0	0	50	50	90	0	周天师		封禅台	-1	-1	-1	160	134			
476	482	20	0	0	0	15	15	55	9	慧方		援助嵩山	-1	-1	-1	95	82			
477	483	20	0	0	0	20	20	60	9	慧方		援助西湖	-1	-1	-1	95	82			
478	484	20	0	0	0	25	25	65	9	慧方		援助洱海	-1	-1	-1	95	82			
479	485	20	0	0	0	30	30	70	9	慧方		援助雁南	-1	-1	-1	95	82			
480	486	20	0	0	0	35	35	75	9	慧方		援助龙泉	-1	-1	-1	95	82			
481	487	20	0	0	0	40	40	80	9	慧方		援助苍山	-1	-1	-1	95	82			
482	488	20	0	0	0	45	45	85	9	慧方		援助雁北	-1	-1	-1	95	82			
483	489	20	0	0	0	50	50	90	9	慧方		援助武夷	-1	-1	-1	95	82			
484	722	20	0	0	0	55	55	95	9	慧方		援助石林	-1	-1	-1	95	82			
485	723	20	0	0	0	60	60	100	9	慧方		援助草原	-1	-1	-1	95	82			
486	812	21	2	0	0	15	15	55	10	洪通		援助嵩山	-1	-1	-1	90	77			
487	813	21	2	0	0	20	20	60	10	洪通		援助西湖	-1	-1	-1	90	77			
488	814	21	2	0	0	25	25	65	10	洪通		援助洱海	-1	-1	-1	90	77			
489	815	21	2	0	0	30	30	70	10	洪通		援助雁南	-1	-1	-1	90	77			
490	816	21	2	0	0	35	35	75	10	洪通		援助龙泉	-1	-1	-1	90	77			
491	817	21	2	0	0	40	40	80	10	洪通		援助苍山	-1	-1	-1	90	77			
492	818	21	2	0	0	45	45	85	10	洪通		援助雁北	-1	-1	-1	90	77			
493	819	21	2	0	0	50	50	90	10	洪通		援助武夷	-1	-1	-1	90	77			
494	820	21	2	0	0	55	55	95	10	洪通		援助石林	-1	-1	-1	90	77			
495	821	21	2	0	0	60	60	100	10	洪通		援助草原	-1	-1	-1	90	77			
496	822	22	1	0	0	15	15	55	11	林岩		援助嵩山	-1	-1	-1	97	106			
497	823	22	1	0	0	20	20	60	11	林岩		援助西湖	-1	-1	-1	97	106			
498	824	22	1	0	0	25	25	65	11	林岩		援助洱海	-1	-1	-1	97	106			
499	825	22	1	0	0	30	30	70	11	林岩		援助雁南	-1	-1	-1	97	106			
500	826	22	1	0	0	35	35	75	11	林岩		援助龙泉	-1	-1	-1	97	106			
501	827	22	1	0	0	40	40	80	11	林岩		援助苍山	-1	-1	-1	97	106			
502	828	22	1	0	0	45	45	85	11	林岩		援助雁北	-1	-1	-1	97	106			
503	829	22	1	0	0	50	50	90	11	林岩		援助武夷	-1	-1	-1	97	106			
504	830	22	1	0	0	55	55	95	11	林岩		援助石林	-1	-1	-1	97	106			
505	831	22	1	0	0	60	60	100	11	林岩		援助草原	-1	-1	-1	97	106			
506	832	23	3	0	0	15	15	55	12	张中行		援助嵩山	-1	-1	-1	78	94			
507	833	23	3	0	0	20	20	60	12	张中行		援助西湖	-1	-1	-1	78	94			
508	834	23	3	0	0	25	25	65	12	张中行		援助洱海	-1	-1	-1	78	94			
509	835	23	3	0	0	30	30	70	12	张中行		援助雁南	-1	-1	-1	78	94			
510	836	23	3	0	0	35	35	75	12	张中行		援助龙泉	-1	-1	-1	78	94			
511	837	23	3	0	0	40	40	80	12	张中行		援助苍山	-1	-1	-1	78	94			
512	838	23	3	0	0	45	45	85	12	张中行		援助雁北	-1	-1	-1	78	94			
513	839	23	3	0	0	50	50	90	12	张中行		援助武夷	-1	-1	-1	78	94			
514	840	23	3	0	0	55	55	95	12	张中行		援助石林	-1	-1	-1	78	94			
515	841	23	3	0	0	60	60	100	12	张中行		援助草原	-1	-1	-1	78	94			
516	842	24	6	0	0	15	15	55	13	本凡		援助嵩山	-1	-1	-1	95	85			
517	843	24	6	0	0	20	20	60	13	本凡		援助西湖	-1	-1	-1	95	85			
518	844	24	6	0	0	25	25	65	13	本凡		援助洱海	-1	-1	-1	95	85			
519	845	24	6	0	0	30	30	70	13	本凡		援助雁南	-1	-1	-1	95	85			
520	846	24	6	0	0	35	35	75	13	本凡		援助龙泉	-1	-1	-1	95	85			
521	847	24	6	0	0	40	40	80	13	本凡		援助苍山	-1	-1	-1	95	85			
522	848	24	6	0	0	45	45	85	13	本凡		援助雁北	-1	-1	-1	95	85			
523	849	24	6	0	0	50	50	90	13	本凡		援助武夷	-1	-1	-1	95	85			
524	850	24	6	0	0	55	55	95	13	本凡		援助石林	-1	-1	-1	95	85			
525	851	24	6	0	0	60	60	100	13	本凡		援助草原	-1	-1	-1	95	85			
526	852	25	8	0	0	15	15	55	14	秦观		援助嵩山	-1	-1	-1	119	152			
527	853	25	8	0	0	20	20	60	14	秦观		援助西湖	-1	-1	-1	119	152			
528	854	25	8	0	0	25	25	65	14	秦观		援助洱海	-1	-1	-1	119	152			
529	855	25	8	0	0	30	30	70	14	秦观		援助雁南	-1	-1	-1	119	152			
530	856	25	8	0	0	35	35	75	14	秦观		援助龙泉	-1	-1	-1	119	152			
531	857	25	8	0	0	40	40	80	14	秦观		援助苍山	-1	-1	-1	119	152			
532	858	25	8	0	0	45	45	85	14	秦观		援助雁北	-1	-1	-1	119	152			
533	859	25	8	0	0	50	50	90	14	秦观		援助武夷	-1	-1	-1	119	152			
534	860	25	8	0	0	55	55	95	14	秦观		援助石林	-1	-1	-1	119	152			
535	861	25	8	0	0	60	60	100	14	秦观		援助草原	-1	-1	-1	119	152			
536	862	26	4	0	0	15	15	55	15	孟龙		援助嵩山	-1	-1	-1	95	85			
537	863	26	4	0	0	20	20	60	15	孟龙		援助西湖	-1	-1	-1	95	85			
538	864	26	4	0	0	25	25	65	15	孟龙		援助洱海	-1	-1	-1	95	85			
539	865	26	4	0	0	30	30	70	15	孟龙		援助雁南	-1	-1	-1	95	85			
540	866	26	4	0	0	35	35	75	15	孟龙		援助龙泉	-1	-1	-1	95	85			
541	867	26	4	0	0	40	40	80	15	孟龙		援助苍山	-1	-1	-1	95	85			
542	868	26	4	0	0	45	45	85	15	孟龙		援助雁北	-1	-1	-1	95	85			
543	869	26	4	0	0	50	50	90	15	孟龙		援助武夷	-1	-1	-1	95	85			
544	870	26	4	0	0	55	55	95	15	孟龙		援助石林	-1	-1	-1	95	85			
545	871	26	4	0	0	60	60	100	15	孟龙		援助草原	-1	-1	-1	95	85			
546	872	27	5	0	0	15	15	55	16	王彦		援助嵩山	-1	-1	-1	95	92			
547	873	27	5	0	0	20	20	60	16	王彦		援助西湖	-1	-1	-1	95	92			
548	874	27	5	0	0	25	25	65	16	王彦		援助洱海	-1	-1	-1	95	92			
549	875	27	5	0	0	30	30	70	16	王彦		援助雁南	-1	-1	-1	95	92			
550	876	27	5	0	0	35	35	75	16	王彦		援助龙泉	-1	-1	-1	95	92			
551	877	27	5	0	0	40	40	80	16	王彦		援助苍山	-1	-1	-1	95	92			
552	878	27	5	0	0	45	45	85	16	王彦		援助雁北	-1	-1	-1	95	92			
553	879	27	5	0	0	50	50	90	16	王彦		援助武夷	-1	-1	-1	95	92			
554	880	27	5	0	0	55	55	95	16	王彦		援助石林	-1	-1	-1	95	92			
555	881	27	5	0	0	60	60	100	16	王彦		援助草原	-1	-1	-1	95	92			
556	882	28	7	0	0	15	15	55	17	符敏仪		援助嵩山	-1	-1	-1	93	61			
557	883	28	7	0	0	20	20	60	17	符敏仪		援助西湖	-1	-1	-1	93	61			
558	884	28	7	0	0	25	25	65	17	符敏仪		援助洱海	-1	-1	-1	93	61			
559	885	28	7	0	0	30	30	70	17	符敏仪		援助雁南	-1	-1	-1	93	61			
560	886	28	7	0	0	35	35	75	17	符敏仪		援助龙泉	-1	-1	-1	93	61			
561	887	28	7	0	0	40	40	80	17	符敏仪		援助苍山	-1	-1	-1	93	61			
562	888	28	7	0	0	45	45	85	17	符敏仪		援助雁北	-1	-1	-1	93	61			
563	889	28	7	0	0	50	50	90	17	符敏仪		援助武夷	-1	-1	-1	93	61			
564	890	28	7	0	0	55	55	95	17	符敏仪		援助石林	-1	-1	-1	93	61			
565	891	28	7	0	0	60	60	100	17	符敏仪		援助草原	-1	-1	-1	93	61			
566	1256	8	-1	0	0	-1	75	120	246	何悦		#Y黄金之链	-1	-1	-1	295	68			
567	1121	50	-1	0	0	-1	30	120	-1	武大威		打探消息	-1	-1	-1	0	0			
