INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
185	女主角t06001靴子.mesh	女主角t06001b靴子	男主角t06001靴子.mesh	男主角t06001b靴子	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
186	女主角t07001靴子.mesh	女主角t07001b靴子	男主角t07001靴子.mesh	男主角t07001b靴子	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
187	女主角t08001靴子.mesh	女主角t08001b靴子	男主角t08001靴子.mesh	男主角t08001b靴子	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
188	女主角t09001靴子.mesh	女主角t09001b靴子	男主角t09001靴子.mesh	男主角t09001b靴子	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
189	女主角t10001靴子.mesh	女主角t10001b靴子	男主角t10001靴子.mesh	男主角t10001b靴子	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
190	女主角b01001护腕.mesh	女主角b01001b护腕	男主角b01001护腕.mesh	男主角b01001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
191	女主角b02001护腕.mesh	女主角b02001b护腕	男主角b02001护腕.mesh	男主角b02001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
192	女主角b03001护腕.mesh	女主角b03001b护腕	男主角b03001护腕.mesh	男主角b03001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
193	女主角b04001护腕.mesh	女主角b04001b护腕	男主角b04001护腕.mesh	男主角b04001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
194	女主角b05001护腕.mesh	女主角b05001b护腕	男主角b05001护腕.mesh	男主角b05001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
195	女主角b06001护腕.mesh	女主角b06001b护腕	男主角b06001护腕.mesh	男主角b06001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
196	女主角b07001护腕.mesh	女主角b07001b护腕	男主角b07001护腕.mesh	男主角b07001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
197	女主角b08001护腕.mesh	女主角b08001b护腕	男主角b08001护腕.mesh	男主角b08001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
198	女主角b09001护腕.mesh	女主角b09001b护腕	男主角b09001护腕.mesh	男主角b09001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
199	女主角b10001护腕.mesh	女主角b10001b护腕	男主角b10001护腕.mesh	男主角b10001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
200	女主角p01001护腕.mesh	女主角p01001b护腕	男主角p01001护腕.mesh	男主角p01001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
201	女主角p02001护腕.mesh	女主角p02001b护腕	男主角p02001护腕.mesh	男主角p02001b护腕	"jia_dingli:左肩,jia_dingli:右肩,jia_dingli_01:身体中心点,"	"jia_bingfang:左肩,jia_bingfang:右肩,jia_bingfang_01:身体中心点,"	"jia_dufang:左肩,jia_dufang:右肩,jia_dufang_01:身体中心点,"	"jia_huofang:左肩,jia_huofang:右肩,jia_huofang_01:身体中心点,"	"jia_liliang:左肩,jia_liliang:右肩,jia_liliang_01:身体中心点,"	"jia_lingqi:左肩,jia_lingqi:右肩,jia_lingqi_01:身体中心点,"	"jia_neifang:左肩,jia_neifang:右肩,jia_neifang_01:身体中心点,"	"jia_shanbi:左肩,jia_shanbi:右肩,jia_shanbi_01:身体中心点,"	"jia_shenfa:左肩,jia_shenfa:右肩,jia_shenfa_01:身体中心点,"	"jia_tili:左肩,jia_tili:右肩,jia_tili_01:身体中心点,"	"jia_waifang:左肩,jia_waifang:右肩,jia_waifang_01:身体中心点,"	"jia_xuanfang:左肩,jia_xuanfang:右肩,jia_xuanfang_01:身体中心点,"	"jia_xj:左肩,jia_xj:右肩,jia_xj_01:身体中心点,"	"jia_dufang_dz:左肩,jia_dufang_dz:右肩,jia_dufang_01_dz:身体中心点,"	"jia_huofang_dz:左肩,jia_huofang_dz:右肩,jia_huofang_01_dz:身体中心点,"	"jia_xuanfang_dz:左肩,jia_xuanfang_dz:右肩,jia_xuanfang_01_dz:身体中心点,"	"jia_bingfang_dz:左肩,jia_bingfang_dz:右肩,jia_bingfang_01_dz:身体中心点,"
