INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
124	Óù´ÍÄÏ»þÌ×	6	-1	-1	-1	-1	43	32	35	339	3	1778	36	113	26	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	Óù´ÍÍõÊ¦Ì×	6	-1	-1	-1	-1	43	36	35	381	3	1995	36	127	26	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	Ñàºî	5	-1	-1	-1	-1	47	4	0	2569	48	3	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	ð©Áé	5	-1	-1	-1	-1	47	5	0	2991	48	3	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	³àÁ¶	5	-1	-1	-1	-1	47	6	0	3412	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	±ÌÓñ	4	-1	-1	-1	-1	16	70	16	60	16	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	¼ÅÃð	5	-1	-1	-1	-1	12	27	19	399	44	42	100	2921	-1	813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	·ÙÏÉ	5	-1	-1	-1	-1	9	27	19	399	35	444	100	2922	-1	814	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	Ð¥Ìì	5	-1	-1	-1	-1	15	27	9	27	36	148	100	2923	-1	815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	ÖïÄ§	5	-1	-1	-1	-1	12	27	6	27	43	42	100	2924	-1	816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	±ÌÉñ	5	-1	-1	-1	-1	6	27	12	27	45	42	100	2925	-1	817	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	¹ÇÁé	5	-1	-1	-1	-1	15	27	26	399	0	4509	100	2926	-1	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	ÌìÒþ	5	-1	-1	-1	-1	6	27	19	399	37	7	100	2927	-1	819	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	ÏÉÒÝ	5	-1	-1	-1	-1	9	27	15	27	3	2320	100	2928	-1	820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	ÎÚÈÕ	5	-1	-1	-1	-1	19	399	26	399	48	15	100	2929	-1	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	ÇØÎä	5	-1	-1	-1	-1	29	318	26	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	ÇØ»ê	5	-1	-1	-1	-1	29	356	26	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	ÇØÎä	5	-1	-1	-1	-1	22	318	19	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	ÇØ»ê	5	-1	-1	-1	-1	22	356	19	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	Ã÷ÔÂ	4	-1	-1	-1	-1	43	31	26	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	±ÌÌì	4	-1	-1	-1	-1	42	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	¶Éãò	4	-1	-1	-1	-1	43	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	ÒÐÂ¥	4	-1	-1	-1	-1	46	17	35	322	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	Óñ¹Ç	4	-1	-1	-1	-1	44	34	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	³¾·÷	4	-1	-1	-1	-1	44	34	19	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	Ïã·Ù	4	-1	-1	-1	-1	42	35	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	ÇÙºá	4	-1	-1	-1	-1	44	34	22	326	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	µñÀ»	5	-1	-1	-1	-1	43	38	44	38	26	365	27	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	Ì«Òõ	5	-1	-1	-1	-1	42	38	44	38	19	365	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	ÒøóÝ	5	-1	-1	-1	-1	44	38	42	38	26	365	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	ºÞÌì	5	-1	-1	-1	-1	44	38	22	363	29	363	23	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
