INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
211	1	0	337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	395
212	1	0	437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	495
213	1	0	537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	595
214	1	0	637	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	695
215	1	0	3940	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	3995
216	1	0	4040	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4095
217	1	0	4140	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4195
218	1	0	4240	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4295
219	1	0	4340	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4395
220	1	0	4440	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4495
221	1	0	4540	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4595
222	1	1	0	158	808106	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	闪电狗	95
223	1	0	8676	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	8695
224	1	0	8712	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	8795
