INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
309	20	23	962	鞍之战	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期少林旧事任务才可以。		
310	20	23	963	三人偕行	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期鞍之战任务才可以。		
311	20	23	964	困兽犹斗	种世衡	18	[262&46]	#G注意：想领取本任务需要玩家完成前期三人偕行任务，队长是少林派弟子且队伍中至少三人才可以。		
312	20	23	965	少林传奇	种世衡	18	[262&46]	#G注意：想领取本任务需要玩家完成前期困兽犹斗任务才可以。		
313	20	23	966	灭此朝食	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期少林传奇任务才可以。		
314	20	23	944	#Y自立门户	兰剑	17	[88&44]	#G注意：想领取本任务需要玩家是天山派弟子，并且前六种心法等级大于等于#Y10级#W。		
315	20	23	945	戎马倥偬	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期自立门户任务才可以。		
316	20	23	946	三人并行	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期戎马倥偬任务才可以。		
317	20	23	947	就地正法	种世衡	18	[262&46]	#G注意：想领取本任务需要玩家完成前期三人并行任务，队长是天山派弟子且队伍中至少三人才可以。		
318	20	23	948	三生有幸	种世衡	18	[262&46]	#G注意：想领取本任务需要玩家完成完成前期就地正法任务才可以。		
319	20	23	949	游山玩水	王韶	2	[217&255]	#G注意：想领取本任务需要玩家完成前期三生有幸任务才可以。		
320	73	75	741	思乡情怯	周游	229	[53&219]	#G注意：想领取本任务需要玩家完成前期寻求温暖的办法任务才可以。		
321	75	78	747	豆豆的保镖	袁平	229	[58&80]	#G注意：想领取本任务需要玩家完成前期冰天雪地寻豆豆任务才可以。		
322	75	78	748	一封家书	博拉	229	[215&55]	#G注意：想领取本任务需要玩家完成前期豆豆的保镖任务才可以。		
323	83	90	731	笔迹	王思嘉	235	[176&194]	#G注意：想领取本任务需要玩家完成前期惘然劫任务才可以。		
324	83	90	732	奈何忠义老	郑杨	235	[172&204]	#G注意：想领取本任务需要玩家完成前期笔迹任务才可以。		
325	83	90	727	忍无可忍	杨元	235	[48&34]	#G注意：想领取本任务需要玩家完成前期旺财任务才可以。		
326	87	93	729	歃血之约	郑杨	235	[172&204]	#G注意：想领取本任务需要玩家完成前期突袭偃师任务才可以。		
327	26	30	400	十年又十年	赵天师	2	[160&156]			
328	26	30	401	学习组队	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期十年又十年任务才可以。		
329	26	30	402	练习组队	吴此仁	0	[234&140]	#G注意：想领取本任务需要玩家完成前期学习组队任务才可以。		
330	26	30	403	天师的期待（1）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期练习组队任务才可以。		
331	26	32	404	洛阳棋圣	周天师	0	[160&134]			
332	28	32	405	大理棋圣	王积薪	0	[271&88]	#G注意：想领取本任务需要玩家完成前期洛阳棋圣任务才可以。		
333	28	32	406	苏州棋圣	刘仲甫	2	[275&95]	#G注意：想领取本任务需要玩家完成前期大理棋圣任务才可以。		
334	28	32	407	黑白	张弈国	1	[174&147]	#G注意：想领取本任务需要玩家完成前期苏州棋圣任务才可以。		
335	28	32	408	生死棋局	卜悔琪	0	[252&62]	#G注意：想领取本任务需要玩家完成前期黑白任务才可以。		
336	28	32	409	天师的期待（2）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期生死棋局任务才可以。		
337	30	34	410	试炼之所摩崖洞	周天师	0	[160&134]			
338	30	34	411	清剿摩崖洞	摩云天	213	[17&229]	#G注意：想领取本任务需要玩家完成前期试炼之所摩崖洞任务才可以。		
339	30	34	412	天师的期待（3）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期清剿摩崖洞任务才可以。		
340	32	36	413	贼兵入侵	周天师	0	[160&134]			
341	32	36	414	造反恶贼	立繁	0	[118&184]	#G注意：想领取本任务需要玩家完成前期贼兵入侵任务才可以。		
342	32	36	415	天师的期待（4）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期造反恶贼任务才可以。		
343	35	39	416	偷袭门派	周天师	0	[160&134]			
344	35	39	417	江湖宵小	立繁	0	[118&184]	#G注意：想领取本任务需要玩家完成前期偷袭门派任务才可以。		
345	35	39	418	天师的期待（5）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期江湖宵小任务才可以。		
346	38	42	419	连环套连环	周天师	0	[160&134]			
347	38	42	422	干掉余毒	钱宏宇	1	[62&162]	#G注意：想领取本任务需要玩家完成前期连环套连环任务才可以。		
348	38	42	423	花剑雨的烦恼	钱宏宇	1	[62&162]	#G注意：想领取本任务需要玩家完成前期干掉余毒任务才可以。		
349	38	42	424	干掉红熊王	花剑雨	1	[250&108]	#G注意：想领取本任务需要玩家完成前期花剑雨的烦恼任务才可以。		
350	38	42	425	最后一环	花剑雨	1	[250&108]	#G注意：想领取本任务需要玩家完成前期干掉红熊王任务才可以。		
351	38	42	426	干掉葛荣	钱宏宇	1	[62&162]	#G注意：想领取本任务需要玩家完成前期最后一环任务才可以。		
352	38	42	427	大功告成	钱宏宇	1	[62&162]	#G注意：想领取本任务需要玩家完成前期干掉葛荣任务才可以。		
353	38	42	428	天师的期待（6）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期大功告成任务才可以。		
354	40	44	429	人在江湖	周天师	0	[160&134]			
355	40	44	430	鬼推磨	范纯仁	0	[140&96]	#G注意：想领取本任务需要玩家完成前期人在江湖任务才可以。		
356	40	44	432	回报	乔致广	0	[174&114]	#G注意：想领取本任务需要玩家完成前期鬼推磨任务才可以。		
357	40	44	433	天师的期待（7）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期回报任务才可以。		
358	42	46	434	御赐套装	周天师	0	[160&134]			
359	42	46	435	寻找万灵石	梁师成	1	[170&138]	#G注意：想领取本任务需要玩家完成前期御赐套装任务才可以。		
360	42	46	436	回报天师	梁师成	1	[170&138]	#G注意：想领取本任务需要玩家完成前期寻找万灵石任务才可以。		
361	42	46	437	天师的期待（8）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期回报天师任务才可以。		
362	45	49	438	生财之道	周天师	0	[160&134]			
363	45	49	439	天地奇物	芮福祥	0	[254&145]	#G注意：想领取本任务需要玩家完成前期生财之道任务才可以。		
364	45	49	470	苏州救急	芮福祥	0	[254&145]	#G注意：想领取本任务需要玩家完成前期天地奇物任务才可以。		
365	45	49	471	太湖水寨	呼延豹	1	[243&215]	#G注意：想领取本任务需要玩家完成前期苏州救急任务才可以。		
366	45	49	472	洛阳漕运使	呼延豹	1	[243&215]	#G注意：想领取本任务需要玩家完成前期太湖水寨任务才可以。		
367	45	49	473	大理漕运使	赵明诚	0	[228&175]	#G注意：想领取本任务需要玩家完成前期洛阳漕运使任务才可以。		
368	45	49	474	苏州漕运使	王若禹	2	[54&192]	#G注意：想领取本任务需要玩家完成前期大理漕运使任务才可以。		
369	45	49	475	回复师命	陆士铮	1	[234&78]	#G注意：想领取本任务需要玩家完成前期苏州漕运使任务才可以。		
370	45	49	476	天师的期待（9）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期回复师命任务才可以。		
371	48	52	477	试炼之所燕王古墓	周天师	0	[160&134]			
372	48	52	478	探索古墓	燕别秋	202	[62&88]	#G注意：想领取本任务需要玩家完成前期试炼之所燕王古墓任务才可以。		
373	48	52	479	燕弦之玉	燕别秋	202	[62&88]	#G注意：想领取本任务需要玩家完成前期探索古墓任务才可以。		
374	48	52	480	天师的期待（10）	周天师	0	[160&134]	#G注意：想领取本任务需要玩家完成前期燕弦之玉任务才可以。		
375	50	54	481	封禅台	周天师	0	[160&134]			
