INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
35	15	20	如何查询珍兽的成长率	0	#Y如何查询珍兽的成长率？#r #r#W到#G苏州#g000000#W的#G（87，142）#R云霏霏 #W处（在苏州可以按Tab键打开城市地图找寻“珍兽”字样），可以花费#gfff0f0一定的金钱#g000000#W查询#gfff0f010级或者10级以上珍兽（含成年，宝宝，变异）#g000000#W的成长率等级。#r #r#cfabf8f查询步骤：#r第一，玩家点击#G苏州#g000000#W的#G（87，142）#R云霏霏 #W，在弹出的对话框中选择#gfff0f0 “查询珍兽成长率”#g000000#W；#r第二，弹出#gfff0f0珍兽选择列表#g000000#W界面，查询窗口中会提示#gfff0f0“只能查询10级以上珍兽的成长率”，并且查询一次成长率需要收取1银的费用。”#g000000#W；#r第三，玩家选择#gfff0f0需要查询成长率的珍兽#g000000#W，点击#gfff0f0“确定”#g000000#W；#r第四，如果所有条件都合乎要求，您将得到最终答案。您珍兽的成长率等级及其相应评价如下：#r第一级：普通；#r第二级：优秀；#r第三级：杰出；#r第四级：卓越；#r第五级：完美！			
36	10	15	如何回复珍兽生命	0	#Y如何回复珍兽生命？#r #r#W到三大城市的#gfff0f0江湖游医#g000000#W处与之对话并，点击按钮#gfff0f0 “帮我的宠物恢复气血和快乐度” #g000000#W，如果您的#gfff0f0等级小于10级#g000000#W则携带宠物的#gfff0f0气血和快乐度加满#g000000#W且治疗#gfff0f0免费#g000000#W，如果您的#gfff0f0等级大于等于10级#g000000#W则显示#gfff0f0需要的金钱#g000000#W，点击确定后，恢复#gfff0f0气血和快乐度#g000000#W，并#gfff0f0扣除相应的金钱#g000000#W。#r #r#cfabf8f三座城市的江湖游医分别为：#r大理：白展元（东门）、陶先秋（西门）；#r洛阳：柯柏仁（西门）、窦梧桐（东门）；#r苏州：平沙燕（西门）、朱防风（北门）。			
37	25	30	如何使用门派召集令	0	#Y如何使用门派召集令？#r #r#cfabf8f门派召集令使用方法：#r#gfff0f0右键#g000000#W点击，使用#gfff0f0门派召集令#g000000#W，可以迅速回到自己的#gfff0f0门派#g000000#W。如果您还#gfff0f0没有加入门派#g000000#W，则该物品#gfff0f0无法使用#g000000#W。#r #r#cfabf8f门派召集令获得渠道：#r#W如果您是#gfff0f0星宿派#g000000#W玩家，则可以使用技能#gfff0f0直接制造 （学习制造门派召集令技能的前提是，咫尺天涯技能达到2级） #g000000#W。#r#W第二，玩家#gfff0f0打怪掉落#g000000#W。			
38	20	25	如何学习采矿	21	#Y如何学习采矿？采矿可以得到铸造、工艺的原材料！#r #r#cfabf8f学习采矿：#r#W在#G大理（214，117）#R童化铁#W、#G苏州（259，132）#R张小河#W和#G洛阳（212，151） #R薛铜锤#W处，都可以学习#gfff0f0采矿技能#g000000#W。#r #r#cfabf8f学习采矿技能的条件是：#r#W玩家的等级达到#gfff0f020级#g000000#W即可。#r #r#W学习采矿后就可以去野外采矿了，但是记得要购买#gfff0f0矿锄#g000000#W并装备上。#W挖矿可以获得各种#gfff0f0矿石#g000000#W以及#gfff0f0伴生矿#g000000#W。这些可以作为#gfff0f0铸造#g000000#W、#gfff0f0工艺#g000000#W的原材料。一个合格的铸造、工艺大师需要大量的矿物。当然某些时候有些任务也会偶尔需要一些矿石。			
39	50	55	如何学习铸造	22	#Y如何学习铸造？#r #r#W到#G大理（21，109）#R过三锤#W、#G苏州 （251，151） #R薛烛#W和#G洛阳（213，160）#R王德富#W处花费#gfff0f0一定金钱#g000000#W可以学习#gfff0f0铸造技能#g000000#W，学会#gfff0f0铸造技能#g000000#W可以#gfff0f0生产大量的神兵利器#g000000#W，但是财力一般者切勿尝试。			
40	25	30	如何才能找到藏宝图	0	#Y如何才能找到藏宝图呢？惩戒凶徒，也许能得藏宝图哦！#r #r#cfabf8f任务介绍：#r#W等级达到#gfff0f020级#g000000#W后可以去#G苏州（126，133）#W找#R吴玠#W，从他那里领取#gfff0f0惩戒凶徒#g000000#W任务后，他会给你的一个#gfff0f0惩凶令#g000000#W，右键点击物品，可以获得凶徒们所在场景与坐标。按指点的场景找到坐标，再次右键便看到我们要惩戒的凶徒了，不要客气给他一些颜色，击败他后，你可以获得经验与金钱，有一定几率可以获得#gfff0f0藏宝图#g000000#W。#r为了褒奖各位侠士的义举，朝廷决定前#gfff0f05次#g000000#W实施#gfff0f0奖励翻倍#g000000#W机制，好机会不要错过哦！既能扬名又可以获得不少财富，您何乐而不为呢？			
41	25	30	如何使用藏宝图	0	#Y得到藏宝图后如何使用呢？#r #r#W如果您获得了#gfff0f0藏宝图#g000000#W，#gfff0f0右键#g000000#W点击它，可以看到藏宝图指点的#gfff0f0场景与坐标#g000000#W。去往藏宝图所指的场景与坐标，右键使用便可以挖掘宝藏了。#r由于并不能确定宝藏消息的真伪，所以挖掘后有可能有多种情况：#r挖到银两（利市啦）、遇到夺宝马贼（宝藏没有得到，你出了马贼……）、挖到宝物（看运气啦）、遇到盗墓贼（砍他）、掉入宝藏（是凶是吉听天由命）、触发机关（郁闷）。			
42	50	55	如何学习缝纫	23	#Y学习缝纫以后可以用各种材料制作防具！如何学习缝纫技能呢？#r #r#cfabf8f学习缝纫：#r#W在#G洛阳#g000000#W的#G（193，172）#R符敏之#W、#G大理#g000000#W的#G（240，171）#R黄绫波#W和#G苏州#g000000#W的#G（211，90） #R余化龙#W处，都可以学习#gfff0f0缝纫技能#g000000#W！#r #r#cfabf8f学习缝纫技能的条件是：#r#W玩家的等级达到#gfff0f050级#g000000#W即可。#r #r学习缝纫之后可以利用种植出来的原料，再加上一些怪物的毛皮就可以制作防具，比如：衣服、手套等。不过裁缝需要大量的种植的原料进行加工，所以财力一般者请勿尝试。			
43	50	55	如何学习工艺	24	#Y学习工艺以后可以用各种材料制作饰品！那么如何学习工艺呢？#r#cfabf8f学习工艺#r#W在#G大理（207，195）#R鲁明月#W、#G苏州（109，130）#R曾三省#W和#G洛阳（60，146） #R龙三少#W处，都可以学习#gfff0f0工艺技能#g000000#W！#r#r#cfabf8f学习工艺技能的条件是：#r#W玩家的等级达到#gfff0f050级#g000000#W即可。#r#r学习工艺之后可以利用采矿获得的矿石、再加上一些怪物的毛皮等材料制作饰品，比如：戒指、项链等。#r不过工艺需要大量的矿石进行加工，所以财力一般者请勿尝试。			
44	20	40	如何开始剧情任务	0	#Y现天龙世界的秘密，钥匙就在你手中！如何开始领取剧情任务呢？#r#cfabf8f任务介绍#r#W当您的#gfff0f0等级达到20级#g000000#W后可以去找#G大理（160，156） #R赵天师#W，然后#gfff0f0每隔10级#g000000#W都可以去他那里一次，他那里的任务有：#gfff0f0万劫谷（20级）、燕子坞（30级）、聚贤庄（40级）、苍茫山（50级）、擂鼓山（60级）、一品堂（70级）#g000000#W等剧情任务等着你来解开天龙八部的密码。			
45	20	30	如何才能结婚	1	#Y愿有情人终成眷属，与你心爱的伴侣携手共闯江湖吧！#r #r#cfabf8f结婚：#r#W#gfff0f0男子35级#g000000#W，#gfff0f0女子20级#g000000#W，双方互相的#gfff0f0友好度都达到1000以上#g000000#W，就可以在月老那里申请结婚了，男方要出一定的聘礼才可以啊！#r情投意合的伴侣之间会有额外的好处：#r在一起战斗可以获得夫妻关系的经验加乘。#r获得夫妻技能。#r拥有结婚戒指，使战斗能力装备到牙齿。			
46	35	40	珍兽如何进行繁殖	0	#Y繁殖出二代珍兽，不同的颜色，强大的能力！#r #r两只准备繁殖珍兽的主人#gfff0f0组队#g000000#W到#G苏州#g000000#W的#G珍兽店#g000000#W（在苏州可以按Tab键打开城市地图即可看见“珍兽”字样）找到#G（85，141） #R云霏霏#W点击#gfff0f0 “珍兽繁殖”#g000000#W按钮，可以进行#gfff0f0珍兽繁殖#g000000#W。#r #r #cfabf8f繁殖的条件：#r#W#gfff0f0从未#g000000#W繁殖过的珍兽达到#gfff0f0 30级#g000000#W，#gfff0f0繁殖过一次#g000000#W的珍兽达到#gfff0f0 50级，#gfff0f0繁殖过二次#g000000#W的珍兽达到#gfff0f0 70级，#gfff0f0繁殖过三次#g000000#W的珍兽达到#gfff0f0 90级#g000000#W 。#r如：玩家第一次珍兽繁殖为33级，那么该珍兽就要等到53级才可以进行第二次繁殖珍兽。每次繁殖等级相隔20级。#r甲：两只珍兽为相同的类型。#r乙：两只珍兽皆为珍兽宝宝。#r丙：两只珍兽性别不同。#r丁：两只珍兽的等级差不大于5级。#r戊：两只珍兽都无配偶或者互为配偶。#r己：两只珍兽不为变异、二代和成年。#r庚：两只珍兽快乐为100，寿命不小于1000。#r辛：珍兽不为出战状态。#r壬：做为队长身上的携带的黄金大于等于2两。#r#r#cfabf8f繁殖过程#r#W等级越高的珍兽繁殖时间越长，当珍兽繁殖成功后，系统会发邮件通知双方珍兽的主人，前来领取。如果自宠物繁殖成功后48小时无人来领取，一对珍兽与两只二代珍兽将回归大自然。#r#r#cfabf8f领取珍兽#r#W双方收到繁殖成功的邮件后，可组队到我这里来领取珍兽。领取的条件：#r1．需要两只珍兽的主人组队前往。#r2．两个珍兽主人的身上珍兽空间分别须要有两个位置。#r#r#gfff0f0二代珍兽能力强大，资质与成生都与一般的珍兽不可同日而语。快为你的珍兽宝宝找个好朋友吧#g000000#W。			
47	30	40	如何开始漕运赚钱	0	#Y漕运可以赚得很多金钱，漕运时如果有物品“漕运路引”就可以赚更多金钱啊！#r #r #cfabf8f漕运#r#W在#G苏州#g000000#W的#G（234，78）#R陆士铮#W、#G大理#g000000#W的#G（54，192）#R王若禹#W和#G洛阳#g000000#W的#G（228，175）#R赵明诚#W处，都可以进行漕运。#r漕运的条件是：#r玩家的等级达到#gfff0f040级#g000000#W即可。#r漕运的次数/天：#r不论任何等级每天最高的漕运次数都为20次。#r漕运的基础规则就是#gfff0f0在洛阳、苏州、大理三大城市的漕运使之间进行运送#g000000#W。当然运送的过程不会一成不变，会有一些意外事件发生。#r#r#cfabf8f黑市商人#r#W在漕运的过程中，可以点击黑市商人。可以进行哄抬，打压价格等，点击后有不同的几率触发以下事件：#r#gfff0f0出售漕运商品#g000000#W：事半功倍，迅速完成一次交易过程。#r#gfff0f0传送至本地图的入口#g000000#W：提高效率。#r#gfff0f0传送至城市的内部#g000000#W：更提高效率。#r#gfff0f0传送至漕运使处#g000000#W：太爽了，可以直接完成当次交易。#r#gfff0f0增加外功攻击#g000000#W：外功型门派战斗如果遇怪可提高战斗效率。#r#gfff0f0增加内功攻击#g000000#W：内功型门派战斗如果遇怪可提高战斗效率。#r#gfff0f0增加外功防御#g000000#W：遇怪可减少损失。#r#gfff0f0增加内功防御#g000000#W：遇怪可减少损失。#r#gfff0f0增加速度#g000000#W：提高行走速度。#r#r#cfabf8f漕运过程#r#W漕运过程中由于你带着货物，是不可以使用传送类技能，传送类物品，以及驿站传送的。在路上，由于你身上的货物价值不菲，不时的会有强盗劫匪虎视耽耽，蠢蠢欲动，用你的武功说话吧。另外消灭这些怪物也不是毫无好处，一样有机会得到增加自己属性的状态，同时还有机会得到“投降书”。#r“投降书”可以让你再次遇敌的几率大大下降。#r#r#cfabf8f高效率漕运#r#W如果你有#gfff0f0漕运路引#g000000#W，在进行漕运时获得的利润是双倍的，在漕运使那里取货时还有机会获得减少遇劫匪几率，甚至完全不会遇劫匪的好事。			
48	31	31	如何使野生珍兽变为宝宝	0	#Y如何使野生珍兽变为宝宝？#r #r#W到#G洛阳#g000000#W的#G珍兽店#g000000#W（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）通过#G（182，157）#R云渺渺#W可以使#gfff0f0成年珍兽#g000000#W变为#gfff0f0珍兽宝宝#g000000#W，但是需要有#gfff0f0 “珍兽还童卷轴” #g000000#W。#r使用物品#gfff0f0 “还童卷轴”#g000000#W可对#gfff0f030级以上#g000000#W的珍兽进行操作#gfff0f0变异珍兽不能使用，无论是一代变异宠或是二代珍兽都不能使用，同时已经交配过的珍兽也不能使用#g000000#W，无论珍兽是野生还是宝宝，使用后#gfff0f0宠物等级变为1级（宝宝）#g000000#W，属性与技能等，会重新生成。#r#gfff0f0还童卷轴#g000000#W分为#gfff0f0普通还童卷轴#g000000#W和#gfff0f0高级还童卷轴#g000000#W。#gfff0f070级以上#g000000#W的珍兽还童只能使用#gfff0f0高级还童卷轴#g000000#W。#gfff0f070级以下#g000000#W的珍兽还童可以使用#gfff0f0任意还童卷轴#g000000#W。#r如果对#gfff0f070级以上#g000000#W的珍兽使用#gfff0f0普通还童卷轴#g000000#W，则会提示：#gfff0f0您的珍兽超过70级，请使用高级还童卷轴进行还童#g000000#W。			
49	35	40	如何才能结婚	2	#Y你是否想与心爱的伴侣携手共闯江湖呢？那就结婚吧！在游戏中我们如何才能结婚呢？#r#cfabf8f结婚#r#W#gfff0f0男子35级，女子20级#g000000#W，双方互相的友#gfff0f0好度都达到1000以上#g000000#W，就可以去#G洛阳的（46，62）#R月老 #g000000#W处结婚了，男方要出一定的#gfff0f0聘礼#g000000#W才可以啊。#r情投意合的伴侣之间会有额外的好下：#r在一起战斗可以获得夫妻关系的经验加乘。#r获得夫妻技能。#r拥有结婚戒指，使战斗能力装备到牙齿。#r#cfabf8f储物箱#r#W除了系统给予的1个钱庄储物箱之外，玩家还可以再购买2个，当然价格不同。#r点击#gfff0f0购买储物箱#g000000#W，这时会询问你并告诉你花费，点确定如果你的金钱够，你就多了一个储物箱了。#r买到后，再次打开钱庄，会看下方多了个小箱子的图标，点击图标为储物箱之间切换。#r#r#cfabf8f其他储物物品#r#W在战斗时，有时候一定几率可以打到#gfff0f0行囊#g000000#W与#gfff0f0格箱#g000000#W，只要装备上，分别可以增加自己的物品栏与材料栏。等级越高的行囊与格箱，增加的空间越多哦。			
50	40	45	如何领取连环任务	0	#Y挑战自我，向第100环前进！想知道如何领取连环任务吗？#r#cfabf8f任务介绍#r#W在#G苏州#g000000#W的#G（94，177） #R王夫人#W处即可领取连环任务，根据#gfff0f0不同等级#g000000#W，开启这个任务的#gfff0f0第一连环#g000000#W是要#gfff0f0交纳一定的费用#g000000#W的，一但开启任务就开始#gfff0f030分钟 #g000000#W计时，以后的每个任务皆是#gfff0f030分钟 #g000000#W计时，#gfff0f030分钟 #g000000#W内如果未完成连环任务#gfff0f0失败#g000000#W。#r任务的形势是#gfff0f0本次任务指向人#g000000#W，即是#gfff0f0下次任务的发布人#g000000#W，100个任务一个与一个相连，所以被称为连环任务。#r任务分为#gfff0f0找人#g000000#W，#gfff0f0找物品或珍兽#g000000#W，进入副本战斗等方式，但任务的难度是与等级匹配的，同时随的环数的提高，任务还会不断增加难度。稍有小慎，便有可能前功尽弃，正是一种挑战。#r#r#cfabf8f任务奖励#r#W任务的经验奖励会随着你的环数越来越高，而不断提高。同时在#gfff0f0第50个#g000000#W任务与#gfff0f0100个#g000000#W任务也会给予#gfff0f0丰厚#g000000#W的物品奖励。#r#r#cfabf8f任务小提示#r#W任务过程中，如果向你要的物品你一时没有找到，你可以通过下面的其他办法得到。#r去打同等级的野外怪，有一定几率可以获得。#r到#G苏州#g000000#W的#G（94，177）#R王夫人#W那里，用你的善恶值来换。			
51	25	45	如何收其他玩家为徒	3	#Y做为徒！有玩家师傅的指导游戏将更轻松，杀怪经验有加乘！#r#Y做为师！徒弟们只要获得经验就有分成，即使不在线也有经验拿，杀怪时经验有加乘！#r#cfabf8f徒弟的好处#r#W只要拜师，在战斗时就有额外的#gfff0f010%#g000000#W的经验加乘，如果师傅就在旁边带徒弟，经验加乘会增加到#gfff0f020%#g000000#W！！太爽了！！#r#r#cfabf8f师傅的好处#r#W只要有徒弟，在战斗时就有额外的#gfff0f010%#g000000#W的经验加乘！而且不与做为徒弟的加乘互斥！#r每个徒弟只要获得经验，师傅就可以获得2%的经验奖励。这些经验达到一定数量后，会邮件通知师傅领取。#r#r#cfabf8f师傅的等级#r#W师傅的等级越高，可以收的弟子越多，当然可以得到的经验的奖励也会越多，多个弟子的奖励是可以叠加的哦。#r师傅等级的提升是通过不断带新玩家获得的#gfff0f0善恶点#g000000#W来换取的，#gfff0f0善恶点#g000000#W非常重要，在领取徒弟给予的奖励时也需要用善恶点来换取，多多带新人战斗，利己利人啊！#r师傅的等级提升，同时也可以获得称号！为人师表，招摇过市，不亦乐乎？			
52	10	20	如何学习本门心法	4	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（91，71）#g000000#W处的#R玄难#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0金刚经、达摩心经、龙树心经#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0法华经、大光明经、释迦经#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
53	10	20	如何学习本门心法	5	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（109，59）#g000000#W处的#G庞万春#R，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0七丧拳、激流大法、烈焰大法#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0葵花秘笈、天地挪移法、明尊圣火功#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
54	10	20	如何学习本门心法	6	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（94，99）#g000000#W处的#R奚三祁#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0太祖长拳、擒龙功、控鹤功#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0地堂功、降龙十八掌上卷、降龙十八掌下卷#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
55	10	20	如何学习本门心法	7	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（82，84）#g000000#W处的#R俞远山#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0阴阳诀、太极剑法、太极拳法#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0乱环诀、虚实诀、南华经#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
56	10	20	如何学习本门心法	8	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（98，51）#g000000#W处的#R崔绿华#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0神女拳法、淑女剑法、君子剑法#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0神佑经、洗髓经、黯然别离掌#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
57	10	20	如何学习本门心法	10	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（97，67）#g000000#W处的#R本观#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0一阳指指法、段家拳法、段家剑法#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0大理兵法、导引术、枯禅#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
58	10	20	如何学习本门心法	9	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（87，70）#g000000#W处的#R施全#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0腐尸功、神木功、圣水经#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0五毒功、三笑逍遥散、拼命三式#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
59	10	20	如何学习本门心法	11	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（88，44）#g000000#W处的#R兰剑#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0灵鹫功、天山融雪功、天山折梅手#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0小无相功、龟息功、天山六阳掌#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
60	10	20	如何学习本门心法	12	#Y修习心法，无敌天下！#r #r#cfabf8f心法介绍：#r#W加入#gfff0f0门派#g000000#W之后可以学习#gfff0f0本门派特有#g000000#W的心法，心法提升到#gfff0f0一定等级#g000000#W之后将会有#gfff0f0新的技能#g000000#W出现，即#gfff0f0学习心法并提高其等级可以激活门派新技能#g000000#W。按#gfff0f0Alt+S#g000000#W将技能拖至#gfff0f0快捷栏#g000000#W即可使用。#r#W按#gfff0f0Tab键#g000000#W打开小地图找到#gfff0f0“武”#g000000#W字所在地后，找本门#G（125，142）#g000000#W处的#R康广陵#W，即可学习本门的独有心法。#r#gfff0f020级以下#g000000#W只能学习#gfff0f0百花经、短歌行、丹青引#g000000#W。#r如果您很少参与PK的话，可以少量的提升#gfff0f0遁甲天书、太平要术、惊涛掌法#g000000#W的等级。#r如果您很#gfff0f0喜欢PK#g000000#W那么就需要#gfff0f0升级所有的心法#g000000#W。#r学习心法的时候需要#gfff0f0花费一定的金钱和经验#g000000#W，心法的#gfff0f0等级越高#g000000#W花费的#gfff0f0金钱越多#g000000#W。#r心法的#gfff0f0等级越高#g000000#W，#gfff0f0技能的强度越高#g000000#W。#r#gfff0f0不同的心法#g000000#W还可以增加#gfff0f0人物的部分属性#g000000#W。			
